"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"RE_RF",0.663327814569536
"2","TH02",1,"SRE_RF",0.569170805739514
"3","TH02",2,"RE_RF",0.585117575525708
"4","TH02",2,"SRE_RF",0.551313757907825
"5","TH02",3,"RE_RF",0.591998106060606
"6","TH02",3,"SRE_RF",0.619926948051948
"7","TH02",4,"RE_RF",0.607009423966988
"8","TH02",4,"SRE_RF",0.559764122009703
"9","TH02",5,"RE_RF",0.589934935599522
"10","TH02",5,"SRE_RF",0.584889124950206
"11","TH02",6,"RE_RF",0.581841741780227
"12","TH02",6,"SRE_RF",0.586142082105173
