"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"GAM",0.642570364238411
"2","TH02",1,"RE_boosting",0.630787803532009
"3","TH02",1,"RE_RF",0.645860927152318
"4","TH02",1,"RE_bag",0.635133830022075
"5","TH02",1,"SRE_RF",0.635644315673289
"6","TH02",1,"SRE_bag",0.564238410596027
"7","TH02",1,"SRE_boosting",0.597647626931567
"8","TH02",1,"SRE_PLTR",0.621943984547461
"9","TH02",2,"GAM",0.583983494336426
"10","TH02",2,"RE_boosting",0.596335414759452
"11","TH02",2,"RE_RF",0.580724718870838
"12","TH02",2,"RE_bag",0.59375982073319
"13","TH02",2,"SRE_RF",0.569670843182532
"14","TH02",2,"SRE_bag",0.585001434681023
"15","TH02",2,"SRE_boosting",0.587057810813396
"16","TH02",2,"SRE_PLTR",0.566726331179034
"17","TH02",3,"GAM",0.564042207792208
"18","TH02",3,"RE_boosting",0.577103625541125
"19","TH02",3,"RE_RF",0.611803300865801
"20","TH02",3,"RE_bag",0.60490395021645
"21","TH02",3,"SRE_RF",0.629525162337662
"22","TH02",3,"SRE_bag",0.600913149350649
"23","TH02",3,"SRE_boosting",0.550507305194805
"24","TH02",3,"SRE_PLTR",0.632974837662338
"25","TH02",4,"GAM",0.569236881726426
"26","TH02",4,"RE_boosting",0.557861205598617
"27","TH02",4,"RE_RF",0.604395527797915
"28","TH02",4,"RE_bag",0.598993475715162
"29","TH02",4,"SRE_RF",0.550402888529527
"30","TH02",4,"SRE_bag",0.588203312329226
"31","TH02",4,"SRE_boosting",0.497881001505604
"32","TH02",4,"SRE_PLTR",0.576039982155802
"33","TH02",5,"GAM",0.564905059089098
"34","TH02",5,"RE_boosting",0.594715177267295
"35","TH02",5,"RE_RF",0.600404992696853
"36","TH02",5,"RE_bag",0.617939184703227
"37","TH02",5,"SRE_RF",0.578508830168636
"38","TH02",5,"SRE_bag",0.625222414022042
"39","TH02",5,"SRE_boosting",0.606931350418271
"40","TH02",5,"SRE_PLTR",0.595007303146992
"41","TH02",6,"GAM",0.552700528286841
"42","TH02",6,"RE_boosting",0.589645008330129
"43","TH02",6,"RE_RF",0.597263160892534
"44","TH02",6,"RE_bag",0.56960997906788
"45","TH02",6,"SRE_RF",0.579798368149003
"46","TH02",6,"SRE_bag",0.595832087373802
"47","TH02",6,"SRE_boosting",0.586811340367665
"48","TH02",6,"SRE_PLTR",0.603635353923705
