"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.639024558498896
"2","TH02",1,"GAM",0.651786699779249
"3","TH02",1,"LDA",0.649524006622517
"4","TH02",1,"CTREE",0.610251103752759
"5","TH02",1,"RF",0.622985651214128
"6","TH02",1,"XGB",0.61419701986755
"7","TH02",1,"LGBM",0.604766832229581
"8","TH02",1,"RE_boosting",0.630787803532009
"9","TH02",1,"RE_RF",0.619915838852097
"10","TH02",1,"RE_bag",0.635133830022075
"11","TH02",1,"SRE_RF",0.565404249448124
"12","TH02",1,"SRE_bag",0.564417770419426
"13","TH02",1,"SRE_boosting",0.597647626931567
"14","TH02",1,"SRE_PLTR",0.621943984547461
"15","TH02",1,"PLTR",0.641176876379691
"16","TH02",2,"LRR",0.596588191892003
"17","TH02",2,"GAM",0.589230327790455
"18","TH02",2,"LDA",0.605531036932789
"19","TH02",2,"CTREE",0.577035539098474
"20","TH02",2,"RF",0.612212551409403
"21","TH02",2,"XGB",0.569855302171151
"22","TH02",2,"LGBM",0.583006544878189
"23","TH02",2,"RE_boosting",0.596335414759452
"24","TH02",2,"RE_RF",0.577944170412778
"25","TH02",2,"RE_bag",0.59375982073319
"26","TH02",2,"SRE_RF",0.538469946848484
"27","TH02",2,"SRE_bag",0.585001434681023
"28","TH02",2,"SRE_boosting",0.587057810813396
"29","TH02",2,"SRE_PLTR",0.556984163854236
"30","TH02",2,"PLTR",0.564553814201976
"31","TH02",3,"LRR",0.663074945887446
"32","TH02",3,"GAM",0.560836038961039
"33","TH02",3,"LDA",0.622334956709957
"34","TH02",3,"CTREE",0.604809253246753
"35","TH02",3,"RF",0.618614718614719
"36","TH02",3,"XGB",0.584645562770563
"37","TH02",3,"LGBM",0.573119588744589
"38","TH02",3,"RE_boosting",0.577103625541125
"39","TH02",3,"RE_RF",0.56231737012987
"40","TH02",3,"RE_bag",0.60490395021645
"41","TH02",3,"SRE_RF",0.58651920995671
"42","TH02",3,"SRE_bag",0.600913149350649
"43","TH02",3,"SRE_boosting",0.550886093073593
"44","TH02",3,"SRE_PLTR",0.665672348484848
"45","TH02",3,"PLTR",0.636803300865801
"46","TH02",4,"LRR",0.578486588970055
"47","TH02",4,"GAM",0.562949590141081
"48","TH02",4,"LDA",0.571676518150895
"49","TH02",4,"CTREE",0.580731054480566
"50","TH02",4,"RF",0.573182122344281
"51","TH02",4,"XGB",0.583930463391513
"52","TH02",4,"LGBM",0.580201304856968
"53","TH02",4,"RE_boosting",0.557861205598617
"54","TH02",4,"RE_RF",0.580961077343445
"55","TH02",4,"RE_bag",0.598993475715162
"56","TH02",4,"SRE_RF",0.570679752411755
"57","TH02",4,"SRE_bag",0.588147549210952
"58","TH02",4,"SRE_boosting",0.497936764623878
"59","TH02",4,"SRE_PLTR",0.587150783471812
"60","TH02",4,"PLTR",0.592971058941616
"61","TH02",5,"LRR",0.589231177798433
"62","TH02",5,"GAM",0.556406851679724
"63","TH02",5,"LDA",0.562329039968132
"64","TH02",5,"CTREE",0.593978223343513
"65","TH02",5,"RF",0.598572566724207
"66","TH02",5,"XGB",0.625428229982738
"67","TH02",5,"LGBM",0.58514805470721
"68","TH02",5,"RE_boosting",0.594715177267295
"69","TH02",5,"RE_RF",0.608318948346833
"70","TH02",5,"RE_bag",0.617939184703227
"71","TH02",5,"SRE_RF",0.567248705351215
"72","TH02",5,"SRE_bag",0.625222414022042
"73","TH02",5,"SRE_boosting",0.606931350418271
"74","TH02",5,"SRE_PLTR",0.595777453193467
"75","TH02",5,"PLTR",0.594788208737219
"76","TH02",6,"LRR",0.604055420279949
"77","TH02",6,"GAM",0.551048741936862
"78","TH02",6,"LDA",0.59361071952383
"79","TH02",6,"CTREE",0.594999074430063
"80","TH02",6,"RF",0.617390747148533
"81","TH02",6,"XGB",0.590784171330115
"82","TH02",6,"LGBM",0.577277970011534
"83","TH02",6,"RE_boosting",0.589645008330129
"84","TH02",6,"RE_RF",0.581677987098979
"85","TH02",6,"RE_bag",0.56960997906788
"86","TH02",6,"SRE_RF",0.543131559086961
"87","TH02",6,"SRE_bag",0.595832087373802
"88","TH02",6,"SRE_boosting",0.586811340367665
"89","TH02",6,"SRE_PLTR",0.604931151836188
"90","TH02",6,"PLTR",0.61120366810486
