"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.639024558498896
"2","TH02",1,"GAM",0.651786699779249
"3","TH02",1,"LDA",0.649524006622517
"4","TH02",1,"CTREE",0.610251103752759
"5","TH02",1,"RF",0.622985651214128
"6","TH02",1,"XGB",0.61419701986755
"7","TH02",1,"LGBM",0.604766832229581
"8","TH02",1,"RE_boosting",0.630787803532009
"9","TH02",1,"RE_RF",0.639707505518764
"10","TH02",1,"RE_bag",0.635133830022075
"11","TH02",1,"SRE_RF",0.648937637969095
"12","TH02",1,"SRE_bag",0.600400110375276
"13","TH02",1,"SRE_boosting",0.611168598233996
"14","TH02",1,"SRE_PLTR",0.628656181015453
"15","TH02",1,"PLTR",0.641176876379691
"16","TH02",2,"LRR",0.596588191892003
"17","TH02",2,"GAM",0.589230327790455
"18","TH02",2,"LDA",0.605531036932789
"19","TH02",2,"CTREE",0.577035539098474
"20","TH02",2,"RF",0.612212551409403
"21","TH02",2,"XGB",0.569855302171151
"22","TH02",2,"LGBM",0.583006544878189
"23","TH02",2,"RE_boosting",0.596335414759452
"24","TH02",2,"RE_RF",0.598145845573667
"25","TH02",2,"RE_bag",0.59375982073319
"26","TH02",2,"SRE_RF",0.594811920149753
"27","TH02",2,"SRE_bag",0.583450612813751
"28","TH02",2,"SRE_boosting",0.5866479019498
"29","TH02",2,"SRE_PLTR",0.601479770997582
"30","TH02",2,"PLTR",0.564553814201976
"31","TH02",3,"LRR",0.663074945887446
"32","TH02",3,"GAM",0.560836038961039
"33","TH02",3,"LDA",0.622334956709957
"34","TH02",3,"CTREE",0.604809253246753
"35","TH02",3,"RF",0.618614718614719
"36","TH02",3,"XGB",0.584645562770563
"37","TH02",3,"LGBM",0.573119588744589
"38","TH02",3,"RE_boosting",0.577103625541125
"39","TH02",3,"RE_RF",0.62576433982684
"40","TH02",3,"RE_bag",0.60490395021645
"41","TH02",3,"SRE_RF",0.65726461038961
"42","TH02",3,"SRE_bag",0.603118235930736
"43","TH02",3,"SRE_boosting",0.592965367965368
"44","TH02",3,"SRE_PLTR",0.628652597402597
"45","TH02",3,"PLTR",0.636803300865801
"46","TH02",4,"LRR",0.578486588970055
"47","TH02",4,"GAM",0.562949590141081
"48","TH02",4,"LDA",0.571676518150895
"49","TH02",4,"CTREE",0.580731054480566
"50","TH02",4,"RF",0.573182122344281
"51","TH02",4,"XGB",0.583930463391513
"52","TH02",4,"LGBM",0.580201304856968
"53","TH02",4,"RE_boosting",0.557861205598617
"54","TH02",4,"RE_RF",0.582724585958847
"55","TH02",4,"RE_bag",0.598993475715162
"56","TH02",4,"SRE_RF",0.58837757207383
"57","TH02",4,"SRE_bag",0.610180951318798
"58","TH02",4,"SRE_boosting",0.534782245023142
"59","TH02",4,"SRE_PLTR",0.582745497128199
"60","TH02",4,"PLTR",0.592971058941616
"61","TH02",5,"LRR",0.589231177798433
"62","TH02",5,"GAM",0.556406851679724
"63","TH02",5,"LDA",0.562329039968132
"64","TH02",5,"CTREE",0.593978223343513
"65","TH02",5,"RF",0.598572566724207
"66","TH02",5,"XGB",0.625428229982738
"67","TH02",5,"LGBM",0.58514805470721
"68","TH02",5,"RE_boosting",0.594715177267295
"69","TH02",5,"RE_RF",0.614234497410702
"70","TH02",5,"RE_bag",0.617939184703227
"71","TH02",5,"SRE_RF",0.600710397025627
"72","TH02",5,"SRE_bag",0.606260788739875
"73","TH02",5,"SRE_boosting",0.600982605231709
"74","TH02",5,"SRE_PLTR",0.596328508830169
"75","TH02",5,"PLTR",0.594788208737219
"76","TH02",6,"LRR",0.604055420279949
"77","TH02",6,"GAM",0.551048741936862
"78","TH02",6,"LDA",0.59361071952383
"79","TH02",6,"CTREE",0.594999074430063
"80","TH02",6,"RF",0.617390747148533
"81","TH02",6,"XGB",0.590784171330115
"82","TH02",6,"LGBM",0.577277970011534
"83","TH02",6,"RE_boosting",0.589645008330129
"84","TH02",6,"RE_RF",0.58717444857391
"85","TH02",6,"RE_bag",0.56960997906788
"86","TH02",6,"SRE_RF",0.611944124054851
"87","TH02",6,"SRE_bag",0.574622296267817
"88","TH02",6,"SRE_boosting",0.577391886311533
"89","TH02",6,"SRE_PLTR",0.61120366810486
"90","TH02",6,"PLTR",0.61120366810486
