"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.184670660301724
"2","TH02",1,"GAM",0.189510363574171
"3","TH02",1,"LDA",0.187769404048865
"4","TH02",1,"CTREE",0.182033411563632
"5","TH02",1,"RF",0.184339197369964
"6","TH02",1,"XGB",0.192919626104579
"7","TH02",1,"LGBM",0.192912850650644
"8","TH02",1,"RE_boosting",0.206747973890628
"9","TH02",1,"RE_RF",0.184350401126679
"10","TH02",1,"RE_bag",0.196998952791091
"11","TH02",1,"SRE_RF",0.181860028895805
"12","TH02",1,"SRE_bag",0.192912850650644
"13","TH02",1,"SRE_boosting",0.189664703214954
"14","TH02",1,"SRE_PLTR",0.18915089165176
"15","TH02",1,"PLTR",0.189601113243718
"16","TH02",2,"LRR",0.194839285609667
"17","TH02",2,"GAM",0.202370206556796
"18","TH02",2,"LDA",0.198857699312524
"19","TH02",2,"CTREE",0.195784456261501
"20","TH02",2,"RF",0.197493324958703
"21","TH02",2,"XGB",0.195631692934506
"22","TH02",2,"LGBM",0.238185976700547
"23","TH02",2,"RE_boosting",0.214197376021812
"24","TH02",2,"RE_RF",0.195802339906626
"25","TH02",2,"RE_bag",0.198794504038229
"26","TH02",2,"SRE_RF",0.198895374901451
"27","TH02",2,"SRE_bag",0.190403171217972
"28","TH02",2,"SRE_boosting",0.194215835907291
"29","TH02",2,"SRE_PLTR",0.208653524963119
"30","TH02",2,"PLTR",0.202018351860515
"31","TH02",3,"LRR",0.186495640371094
"32","TH02",3,"GAM",0.20582240302492
"33","TH02",3,"LDA",0.191872486388656
"34","TH02",3,"CTREE",0.186828254754664
"35","TH02",3,"RF",0.19290785162435
"36","TH02",3,"XGB",0.206858123903553
"37","TH02",3,"LGBM",0.190742632142667
"38","TH02",3,"RE_boosting",0.224728180927589
"39","TH02",3,"RE_RF",0.186832738184788
"40","TH02",3,"RE_bag",0.198649728822474
"41","TH02",3,"SRE_RF",0.186179690111733
"42","TH02",3,"SRE_bag",0.194073135712288
"43","TH02",3,"SRE_boosting",0.187401720835137
"44","TH02",3,"SRE_PLTR",0.187047274051448
"45","TH02",3,"PLTR",0.186580990090344
"46","TH02",4,"LRR",0.194882922098574
"47","TH02",4,"GAM",0.207969676993425
"48","TH02",4,"LDA",0.202682259676675
"49","TH02",4,"CTREE",0.194413538217893
"50","TH02",4,"RF",0.195368751857378
"51","TH02",4,"XGB",0.210475675407929
"52","TH02",4,"LGBM",0.201317391285844
"53","TH02",4,"RE_boosting",0.203081614659444
"54","TH02",4,"RE_RF",0.202124600912574
"55","TH02",4,"RE_bag",0.196333547342895
"56","TH02",4,"SRE_RF",0.194572915051377
"57","TH02",4,"SRE_bag",0.186358794217772
"58","TH02",4,"SRE_boosting",0.188778356270083
"59","TH02",4,"SRE_PLTR",0.189790349070978
"60","TH02",4,"PLTR",0.18904055287088
"61","TH02",5,"LRR",0.194689407029741
"62","TH02",5,"GAM",0.208351258583796
"63","TH02",5,"LDA",0.203483960639793
"64","TH02",5,"CTREE",0.195123625576002
"65","TH02",5,"RF",0.204322856728578
"66","TH02",5,"XGB",0.207737273721107
"67","TH02",5,"LGBM",0.199513669976871
"68","TH02",5,"RE_boosting",0.210385916445872
"69","TH02",5,"RE_RF",0.208875065699891
"70","TH02",5,"RE_bag",0.192795097378944
"71","TH02",5,"SRE_RF",0.192401879670859
"72","TH02",5,"SRE_bag",0.191504846156501
"73","TH02",5,"SRE_boosting",0.196070134124118
"74","TH02",5,"SRE_PLTR",0.193101467186306
"75","TH02",5,"PLTR",0.193605806765117
"76","TH02",6,"LRR",0.181758643951691
"77","TH02",6,"GAM",0.205122189228962
"78","TH02",6,"LDA",0.189763748094943
"79","TH02",6,"CTREE",0.183442873557792
"80","TH02",6,"RF",0.186883915152748
"81","TH02",6,"XGB",0.188390233075111
"82","TH02",6,"LGBM",0.195668227041064
"83","TH02",6,"RE_boosting",0.215757990099467
"84","TH02",6,"RE_RF",0.191030999808195
"85","TH02",6,"RE_bag",0.20623518260602
"86","TH02",6,"SRE_RF",0.1841665985121
"87","TH02",6,"SRE_bag",0.183556122009492
"88","TH02",6,"SRE_boosting",0.183013665757057
"89","TH02",6,"SRE_PLTR",0.180944254241521
"90","TH02",6,"PLTR",0.181089645102584
