"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"RE_RF",0.179374153489383
"2","TH02",1,"SRE_RF",0.192912850650644
"3","TH02",2,"RE_RF",0.195086917459868
"4","TH02",2,"SRE_RF",0.190822591467571
"5","TH02",3,"RE_RF",0.197318305702575
"6","TH02",3,"SRE_RF",0.190118520770691
"7","TH02",4,"RE_RF",0.194945139877126
"8","TH02",4,"SRE_RF",0.187256580457157
"9","TH02",5,"RE_RF",0.207823468864311
"10","TH02",5,"SRE_RF",0.198427072182241
"11","TH02",6,"RE_RF",0.188670747042977
"12","TH02",6,"SRE_RF",0.182092348708311
