"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"GAM",0.191982745299583
"2","TH02",1,"RE_boosting",0.19835159925871
"3","TH02",1,"RE_RF",0.186596883646371
"4","TH02",1,"RE_bag",0.196998952791091
"5","TH02",1,"SRE_RF",0.188511692036478
"6","TH02",1,"SRE_bag",0.192912850650644
"7","TH02",1,"SRE_boosting",0.189664703214954
"8","TH02",1,"SRE_PLTR",0.18915089165176
"9","TH02",2,"GAM",0.210097547795768
"10","TH02",2,"RE_boosting",0.207241323931235
"11","TH02",2,"RE_RF",0.198631404894713
"12","TH02",2,"RE_bag",0.198794504038229
"13","TH02",2,"SRE_RF",0.192755562655421
"14","TH02",2,"SRE_bag",0.190403171217972
"15","TH02",2,"SRE_boosting",0.194215835907291
"16","TH02",2,"SRE_PLTR",0.202028159916339
"17","TH02",3,"GAM",0.213106745000165
"18","TH02",3,"RE_boosting",0.197158352925657
"19","TH02",3,"RE_RF",0.196672679824434
"20","TH02",3,"RE_bag",0.198649728822474
"21","TH02",3,"SRE_RF",0.190860148320047
"22","TH02",3,"SRE_bag",0.194073135712288
"23","TH02",3,"SRE_boosting",0.189533877059261
"24","TH02",3,"SRE_PLTR",0.188060023727237
"25","TH02",4,"GAM",0.207171677764044
"26","TH02",4,"RE_boosting",0.191813008644128
"27","TH02",4,"RE_RF",0.191392195880087
"28","TH02",4,"RE_bag",0.196333547342895
"29","TH02",4,"SRE_RF",0.206182559610731
"30","TH02",4,"SRE_bag",0.186358794217772
"31","TH02",4,"SRE_boosting",0.188778356270083
"32","TH02",4,"SRE_PLTR",0.189008123336564
"33","TH02",5,"GAM",0.215869004457427
"34","TH02",5,"RE_boosting",0.207943015519272
"35","TH02",5,"RE_RF",0.203173521507483
"36","TH02",5,"RE_bag",0.192795097378944
"37","TH02",5,"SRE_RF",0.1976735299024
"38","TH02",5,"SRE_bag",0.191504846156501
"39","TH02",5,"SRE_boosting",0.196070134124118
"40","TH02",5,"SRE_PLTR",0.193404032258571
"41","TH02",6,"GAM",0.211566307975834
"42","TH02",6,"RE_boosting",0.211385318885919
"43","TH02",6,"RE_RF",0.214206461215047
"44","TH02",6,"RE_bag",0.20623518260602
"45","TH02",6,"SRE_RF",0.183115002714401
"46","TH02",6,"SRE_bag",0.183556122009492
"47","TH02",6,"SRE_boosting",0.18318641947443
"48","TH02",6,"SRE_PLTR",0.181101791221298
