"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.184670660301724
"2","TH02",1,"GAM",0.187963433100281
"3","TH02",1,"LDA",0.187769404048865
"4","TH02",1,"CTREE",0.182033411563632
"5","TH02",1,"RF",0.184339197369964
"6","TH02",1,"XGB",0.192919626104579
"7","TH02",1,"LGBM",0.192912850650644
"8","TH02",1,"RE_boosting",0.19835159925871
"9","TH02",1,"RE_RF",0.193744427376966
"10","TH02",1,"RE_bag",0.196998952791091
"11","TH02",1,"SRE_RF",0.182197915129367
"12","TH02",1,"SRE_bag",0.2025412997493
"13","TH02",1,"SRE_boosting",0.218268412197983
"14","TH02",1,"SRE_PLTR",0.180125297840389
"15","TH02",1,"PLTR",0.189601113243718
"16","TH02",2,"LRR",0.194839285609667
"17","TH02",2,"GAM",0.205607186404193
"18","TH02",2,"LDA",0.198857699312524
"19","TH02",2,"CTREE",0.195784456261501
"20","TH02",2,"RF",0.197493324958703
"21","TH02",2,"XGB",0.195631692934506
"22","TH02",2,"LGBM",0.238185976700547
"23","TH02",2,"RE_boosting",0.207241323931235
"24","TH02",2,"RE_RF",0.187544076772659
"25","TH02",2,"RE_bag",0.198794504038229
"26","TH02",2,"SRE_RF",0.191508750494182
"27","TH02",2,"SRE_bag",0.206545861990413
"28","TH02",2,"SRE_boosting",0.220693769021711
"29","TH02",2,"SRE_PLTR",0.193062193525692
"30","TH02",2,"PLTR",0.202018351860515
"31","TH02",3,"LRR",0.186495640371094
"32","TH02",3,"GAM",0.212647770008432
"33","TH02",3,"LDA",0.191872486388656
"34","TH02",3,"CTREE",0.186828254754664
"35","TH02",3,"RF",0.19290785162435
"36","TH02",3,"XGB",0.206858123903553
"37","TH02",3,"LGBM",0.190742632142667
"38","TH02",3,"RE_boosting",0.197158352925657
"39","TH02",3,"RE_RF",0.18782617446804
"40","TH02",3,"RE_bag",0.198649728822474
"41","TH02",3,"SRE_RF",0.187984988373499
"42","TH02",3,"SRE_bag",0.230036312684151
"43","TH02",3,"SRE_boosting",0.222330787374378
"44","TH02",3,"SRE_PLTR",0.186272108181306
"45","TH02",3,"PLTR",0.186580990090344
"46","TH02",4,"LRR",0.194882922098574
"47","TH02",4,"GAM",0.207890461807478
"48","TH02",4,"LDA",0.202682259676675
"49","TH02",4,"CTREE",0.194413538217893
"50","TH02",4,"RF",0.195368751857378
"51","TH02",4,"XGB",0.210475675407929
"52","TH02",4,"LGBM",0.201317391285844
"53","TH02",4,"RE_boosting",0.191813008644128
"54","TH02",4,"RE_RF",0.200223391048341
"55","TH02",4,"RE_bag",0.196333547342895
"56","TH02",4,"SRE_RF",0.190428983899271
"57","TH02",4,"SRE_bag",0.1991548459196
"58","TH02",4,"SRE_boosting",0.210887135553293
"59","TH02",4,"SRE_PLTR",0.199856656971594
"60","TH02",4,"PLTR",0.18904055287088
"61","TH02",5,"LRR",0.194689407029741
"62","TH02",5,"GAM",0.214420375280679
"63","TH02",5,"LDA",0.203483960639793
"64","TH02",5,"CTREE",0.195123625576002
"65","TH02",5,"RF",0.204322856728578
"66","TH02",5,"XGB",0.207737273721107
"67","TH02",5,"LGBM",0.199513669976871
"68","TH02",5,"RE_boosting",0.207943015519272
"69","TH02",5,"RE_RF",0.196788355352074
"70","TH02",5,"RE_bag",0.192795097378944
"71","TH02",5,"SRE_RF",0.193093574375648
"72","TH02",5,"SRE_bag",0.197178240806996
"73","TH02",5,"SRE_boosting",0.218767234373626
"74","TH02",5,"SRE_PLTR",0.192893559410165
"75","TH02",5,"PLTR",0.193605806765117
"76","TH02",6,"LRR",0.181758643951691
"77","TH02",6,"GAM",0.211246629780872
"78","TH02",6,"LDA",0.189763748094943
"79","TH02",6,"CTREE",0.183442873557792
"80","TH02",6,"RF",0.186883915152748
"81","TH02",6,"XGB",0.188390233075111
"82","TH02",6,"LGBM",0.195668227041064
"83","TH02",6,"RE_boosting",0.211385318885919
"84","TH02",6,"RE_RF",0.198146658807307
"85","TH02",6,"RE_bag",0.20623518260602
"86","TH02",6,"SRE_RF",0.183570189901099
"87","TH02",6,"SRE_bag",0.214660053009175
"88","TH02",6,"SRE_boosting",0.241055817364106
"89","TH02",6,"SRE_PLTR",0.180800289163312
"90","TH02",6,"PLTR",0.181089645102584
