"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"RE_RF",0.0198107693907122
"2","TH02",1,"SRE_RF",0.0162574496744137
"3","TH02",2,"RE_RF",0.0151779616999189
"4","TH02",2,"SRE_RF",0.0145818767665159
"5","TH02",3,"RE_RF",0.016114807262499
"6","TH02",3,"SRE_RF",0.0151319472673666
"7","TH02",4,"RE_RF",0.0147110449284133
"8","TH02",4,"SRE_RF",0.0130927296684602
"9","TH02",5,"RE_RF",0.0172231020422183
"10","TH02",5,"SRE_RF",0.0172343693705155
"11","TH02",6,"RE_RF",0.0111965681357183
"12","TH02",6,"SRE_RF",0.0136714114636867
