"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"GAM",0.017976363651826
"2","TH02",1,"RE_boosting",0.0166019190232735
"3","TH02",1,"RE_RF",0.0186470249510368
"4","TH02",1,"RE_bag",0.0174779752024073
"5","TH02",1,"SRE_RF",0.0185391215392629
"6","TH02",1,"SRE_bag",0.0117453578657691
"7","TH02",1,"SRE_boosting",0.0172079921003654
"8","TH02",1,"SRE_PLTR",0.0192697268014201
"9","TH02",2,"GAM",0.0146033680632308
"10","TH02",2,"RE_boosting",0.0145747692439669
"11","TH02",2,"RE_RF",0.0156608416927986
"12","TH02",2,"RE_bag",0.0158909536634884
"13","TH02",2,"SRE_RF",0.01265916658441
"14","TH02",2,"SRE_bag",0.0138022698113454
"15","TH02",2,"SRE_boosting",0.013113633204678
"16","TH02",2,"SRE_PLTR",0.0145790375120884
"17","TH02",3,"GAM",0.0147809978044593
"18","TH02",3,"RE_boosting",0.018369264929371
"19","TH02",3,"RE_RF",0.0172939297725673
"20","TH02",3,"RE_bag",0.0168493556327636
"21","TH02",3,"SRE_RF",0.0191832117142809
"22","TH02",3,"SRE_bag",0.0158142491959585
"23","TH02",3,"SRE_boosting",0.0171149237894017
"24","TH02",3,"SRE_PLTR",0.0204031991120537
"25","TH02",4,"GAM",0.0125086255588194
"26","TH02",4,"RE_boosting",0.0140655061055694
"27","TH02",4,"RE_RF",0.0142798641584843
"28","TH02",4,"RE_bag",0.0146228936710427
"29","TH02",4,"SRE_RF",0.011276599925677
"30","TH02",4,"SRE_bag",0.0133110676310746
"31","TH02",4,"SRE_boosting",0.0127858076867561
"32","TH02",4,"SRE_PLTR",0.0124805950899315
"33","TH02",5,"GAM",0.01625444142801
"34","TH02",5,"RE_boosting",0.0187257442501307
"35","TH02",5,"RE_RF",0.0179153252776035
"36","TH02",5,"RE_bag",0.0189618725861434
"37","TH02",5,"SRE_RF",0.0177446186037575
"38","TH02",5,"SRE_bag",0.0195862412876367
"39","TH02",5,"SRE_boosting",0.0168112634516242
"40","TH02",5,"SRE_PLTR",0.0190683676781652
"41","TH02",6,"GAM",0.00940879177388283
"42","TH02",6,"RE_boosting",0.0115370905829075
"43","TH02",6,"RE_RF",0.0143606356819142
"44","TH02",6,"RE_bag",0.0109490312192505
"45","TH02",6,"SRE_RF",0.00864706857945473
"46","TH02",6,"SRE_bag",0.0121227036529803
"47","TH02",6,"SRE_boosting",0.0108643727647828
"48","TH02",6,"SRE_PLTR",0.0137614934849093
