"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.390525150268902
"2","TH02",1,"GAM",0.256723716381418
"3","TH02",1,"LDA",0.203159041394336
"4","TH02",1,"CTREE",0
"5","TH02",1,"RF",0.14894267635782
"6","TH02",1,"XGB",0.196291236591783
"7","TH02",1,"LGBM",0.244141033689056
"8","TH02",1,"RE_boosting",0.191255006675567
"9","TH02",1,"RE_RF",0.182696309276092
"10","TH02",1,"RE_bag",0.148104575163399
"11","TH02",1,"SRE_RF",0.381939851991812
"12","TH02",1,"SRE_bag",0.00895881131869336
"13","TH02",1,"SRE_boosting",0.135940803382664
"14","TH02",1,"SRE_PLTR",0.18022743022743
"15","TH02",1,"PLTR",0.0789390789390791
"16","TH02",2,"LRR",0.147815570672714
"17","TH02",2,"GAM",0.0961365678346811
"18","TH02",2,"LDA",0.128939075630252
"19","TH02",2,"CTREE",0.0629208754208754
"20","TH02",2,"RF",0.114158829676071
"21","TH02",2,"XGB",0.0795930725445078
"22","TH02",2,"LGBM",0.102278749337573
"23","TH02",2,"RE_boosting",0.0798377522754254
"24","TH02",2,"RE_RF",0.0740794134607463
"25","TH02",2,"RE_bag",0.069462647444299
"26","TH02",2,"SRE_RF",0.161635890151515
"27","TH02",2,"SRE_bag",0.170002869362045
"28","TH02",2,"SRE_boosting",0.181931217292689
"29","TH02",2,"SRE_PLTR",0.109082080729606
"30","TH02",2,"PLTR",0.111703023667144
"31","TH02",3,"LRR",0.326149891774892
"32","TH02",3,"GAM",0.0383194741727122
"33","TH02",3,"LDA",0.199891333876664
"34","TH02",3,"CTREE",0
"35","TH02",3,"RF",0.117236610510435
"36","TH02",3,"XGB",0.171804613297151
"37","TH02",3,"LGBM",0.114224137931034
"38","TH02",3,"RE_boosting",0.134644903806795
"39","TH02",3,"RE_RF",0.125922417231751
"40","TH02",3,"RE_bag",0.0739903143274854
"41","TH02",3,"SRE_RF",0.3401920995671
"42","TH02",3,"SRE_bag",0.181116389548694
"43","TH02",3,"SRE_boosting",0.224888455103179
"44","TH02",3,"SRE_PLTR",0.239539871892813
"45","TH02",3,"PLTR",0.239539871892813
"46","TH02",4,"LRR",0.137483146067416
"47","TH02",4,"GAM",0.120903225806452
"48","TH02",4,"LDA",0.129444934596647
"49","TH02",4,"CTREE",0.0444770642201835
"50","TH02",4,"RF",0.0715425531914893
"51","TH02",4,"XGB",0.159901118917512
"52","TH02",4,"LGBM",0.0416114058355437
"53","TH02",4,"RE_boosting",0.0432196300771448
"54","TH02",4,"RE_RF",0.142570719602978
"55","TH02",4,"RE_bag",0.150132008770752
"56","TH02",4,"SRE_RF",0.176304879345168
"57","TH02",4,"SRE_bag",0.203609167874625
"58","TH02",4,"SRE_boosting",0.0442233970584551
"59","TH02",4,"SRE_PLTR",0.149200225062294
"60","TH02",4,"PLTR",0.183404896001784
"61","TH02",5,"LRR",0.153242835595777
"62","TH02",5,"GAM",-0.0203191224133633
"63","TH02",5,"LDA",-0.0216333673057324
"64","TH02",5,"CTREE",0.123530681528287
"65","TH02",5,"RF",0.0624827586206897
"66","TH02",5,"XGB",-0.024593441748867
"67","TH02",5,"LGBM",0.102998781337047
"68","TH02",5,"RE_boosting",0.0613520640116385
"69","TH02",5,"RE_RF",0.0640059127864006
"70","TH02",5,"RE_bag",0.125576778131147
"71","TH02",5,"SRE_RF",0.00826090360974074
"72","TH02",5,"SRE_bag",0.0949573987132672
"73","TH02",5,"SRE_boosting",0.205289214589394
"74","TH02",5,"SRE_PLTR",0.107423935091278
"75","TH02",5,"PLTR",0.0844854313644847
"76","TH02",6,"LRR",0.208110840559899
"77","TH02",6,"GAM",0.045045045045045
"78","TH02",6,"LDA",0.0716647137596251
"79","TH02",6,"CTREE",0.0598409090909091
"80","TH02",6,"RF",0.123205830585785
"81","TH02",6,"XGB",0.0799575940185246
"82","TH02",6,"LGBM",0.00354168660859577
"83","TH02",6,"RE_boosting",0.0197740112994351
"84","TH02",6,"RE_RF",0.0306154326772883
"85","TH02",6,"RE_bag",-0.00013320545609552
"86","TH02",6,"SRE_RF",0.212752929784841
"87","TH02",6,"SRE_bag",0.188332122972646
"88","TH02",6,"SRE_boosting",0.144858814985689
"89","TH02",6,"SRE_PLTR",0.226978227747163
"90","TH02",6,"PLTR",0.225127087872186
