"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"RE_RF",0.150823431311236
"2","TH02",1,"SRE_RF",0.219454545454545
"3","TH02",2,"RE_RF",-0.0691580388465817
"4","TH02",2,"SRE_RF",0.148878802858042
"5","TH02",3,"RE_RF",0.0815013404825737
"6","TH02",3,"SRE_RF",0.217713018111098
"7","TH02",4,"RE_RF",0.161694497850554
"8","TH02",4,"SRE_RF",0.0505522514868308
"9","TH02",5,"RE_RF",0.0326797385620916
"10","TH02",5,"SRE_RF",0.267310832879695
"11","TH02",6,"RE_RF",0.0322642229858725
"12","TH02",6,"SRE_RF",0.172284164210347
