"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"GAM",0.257167090754877
"2","TH02",1,"RE_boosting",0.180875919665938
"3","TH02",1,"RE_RF",0.162972304408983
"4","TH02",1,"RE_bag",0.148104575163399
"5","TH02",1,"SRE_RF",0.199292059039605
"6","TH02",1,"SRE_bag",0.162789077737531
"7","TH02",1,"SRE_boosting",0.135940803382664
"8","TH02",1,"SRE_PLTR",0.18022743022743
"9","TH02",2,"GAM",0.0683037608245365
"10","TH02",2,"RE_boosting",0.0980240029094435
"11","TH02",2,"RE_RF",0.148518679619158
"12","TH02",2,"RE_bag",0.069462647444299
"13","TH02",2,"SRE_RF",0.0934783539588062
"14","TH02",2,"SRE_bag",0.170002869362045
"15","TH02",2,"SRE_boosting",0.181931217292689
"16","TH02",2,"SRE_PLTR",0.104481686827957
"17","TH02",3,"GAM",0.0551327720207253
"18","TH02",3,"RE_boosting",0.0818328716528163
"19","TH02",3,"RE_RF",0.112026777469991
"20","TH02",3,"RE_bag",0.0739903143274854
"21","TH02",3,"SRE_RF",0.258337339262108
"22","TH02",3,"SRE_bag",0.181116389548694
"23","TH02",3,"SRE_boosting",0.200089344900136
"24","TH02",3,"SRE_PLTR",0.183096315449256
"25","TH02",4,"GAM",0.174006267524328
"26","TH02",4,"RE_boosting",0.0429276127107949
"27","TH02",4,"RE_RF",0.10760557387512
"28","TH02",4,"RE_bag",0.150132008770752
"29","TH02",4,"SRE_RF",-0.031294803974885
"30","TH02",4,"SRE_bag",0.203609167874625
"31","TH02",4,"SRE_boosting",0.0442233970584551
"32","TH02",4,"SRE_PLTR",0.149200225062294
"33","TH02",5,"GAM",0.0494355780459323
"34","TH02",5,"RE_boosting",0.0373489747831754
"35","TH02",5,"RE_RF",0.0761711711711712
"36","TH02",5,"RE_bag",0.125576778131147
"37","TH02",5,"SRE_RF",0.133003524632917
"38","TH02",5,"SRE_bag",0.0949573987132672
"39","TH02",5,"SRE_boosting",0.202216586831971
"40","TH02",5,"SRE_PLTR",0.0827454206080547
"41","TH02",6,"GAM",0.0737650358959729
"42","TH02",6,"RE_boosting",0.0243414387031409
"43","TH02",6,"RE_RF",0.116535250463822
"44","TH02",6,"RE_bag",-0.00013320545609552
"45","TH02",6,"SRE_RF",0.150714749837557
"46","TH02",6,"SRE_bag",0.188332122972646
"47","TH02",6,"SRE_boosting",0.144858814985689
"48","TH02",6,"SRE_PLTR",0.226721916072166
