"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.390525150268902
"2","TH02",1,"GAM",0.22559087204564
"3","TH02",1,"LDA",0.203159041394336
"4","TH02",1,"CTREE",0
"5","TH02",1,"RF",0.14894267635782
"6","TH02",1,"XGB",0.196291236591783
"7","TH02",1,"LGBM",0.244141033689056
"8","TH02",1,"RE_boosting",0.180875919665938
"9","TH02",1,"RE_RF",0.242656449553001
"10","TH02",1,"RE_bag",0.148104575163399
"11","TH02",1,"SRE_RF",0.29787527593819
"12","TH02",1,"SRE_bag",0.0311494836634501
"13","TH02",1,"SRE_boosting",0.220305396899406
"14","TH02",1,"SRE_PLTR",0.194437023650507
"15","TH02",1,"PLTR",0.0789390789390791
"16","TH02",2,"LRR",0.147815570672714
"17","TH02",2,"GAM",0.060939060939061
"18","TH02",2,"LDA",0.128939075630252
"19","TH02",2,"CTREE",0.0629208754208754
"20","TH02",2,"RF",0.114158829676071
"21","TH02",2,"XGB",0.0795930725445078
"22","TH02",2,"LGBM",0.102278749337573
"23","TH02",2,"RE_boosting",0.0980240029094435
"24","TH02",2,"RE_RF",0.0776290055664208
"25","TH02",2,"RE_bag",0.069462647444299
"26","TH02",2,"SRE_RF",0.129591015510682
"27","TH02",2,"SRE_bag",0.0645346610494064
"28","TH02",2,"SRE_boosting",0.051605504587156
"29","TH02",2,"SRE_PLTR",0.135158311345646
"30","TH02",2,"PLTR",0.111703023667144
"31","TH02",3,"LRR",0.326149891774892
"32","TH02",3,"GAM",0.0461463730569949
"33","TH02",3,"LDA",0.199891333876664
"34","TH02",3,"CTREE",0
"35","TH02",3,"RF",0.117236610510435
"36","TH02",3,"XGB",0.171804613297151
"37","TH02",3,"LGBM",0.114224137931034
"38","TH02",3,"RE_boosting",0.0818328716528163
"39","TH02",3,"RE_RF",0.0728288811892255
"40","TH02",3,"RE_bag",0.0739903143274854
"41","TH02",3,"SRE_RF",0.314502164502164
"42","TH02",3,"SRE_bag",0.120597708432335
"43","TH02",3,"SRE_boosting",0.14834169270765
"44","TH02",3,"SRE_PLTR",0.257305194805195
"45","TH02",3,"PLTR",0.239539871892813
"46","TH02",4,"LRR",0.137483146067416
"47","TH02",4,"GAM",0.124719682594445
"48","TH02",4,"LDA",0.129444934596647
"49","TH02",4,"CTREE",0.0444770642201835
"50","TH02",4,"RF",0.0715425531914893
"51","TH02",4,"XGB",0.159901118917512
"52","TH02",4,"LGBM",0.0416114058355437
"53","TH02",4,"RE_boosting",0.0429276127107949
"54","TH02",4,"RE_RF",0.157193832037721
"55","TH02",4,"RE_bag",0.150132008770752
"56","TH02",4,"SRE_RF",0.153333333333333
"57","TH02",4,"SRE_bag",0.15920177383592
"58","TH02",4,"SRE_boosting",0.0272215108834828
"59","TH02",4,"SRE_PLTR",0.133367346938775
"60","TH02",4,"PLTR",0.183404896001784
"61","TH02",5,"LRR",0.153242835595777
"62","TH02",5,"GAM",-0.0115331252167881
"63","TH02",5,"LDA",-0.0216333673057324
"64","TH02",5,"CTREE",0.123530681528287
"65","TH02",5,"RF",0.0624827586206897
"66","TH02",5,"XGB",-0.024593441748867
"67","TH02",5,"LGBM",0.102998781337047
"68","TH02",5,"RE_boosting",0.0373489747831754
"69","TH02",5,"RE_RF",0.122174368525201
"70","TH02",5,"RE_bag",0.125576778131147
"71","TH02",5,"SRE_RF",0.103877858460705
"72","TH02",5,"SRE_bag",0.0550926261382025
"73","TH02",5,"SRE_boosting",0.0670359052711993
"74","TH02",5,"SRE_PLTR",0.0696148885203611
"75","TH02",5,"PLTR",0.0844854313644847
"76","TH02",6,"LRR",0.208110840559899
"77","TH02",6,"GAM",0.0651468032561968
"78","TH02",6,"LDA",0.0716647137596251
"79","TH02",6,"CTREE",0.0598409090909091
"80","TH02",6,"RF",0.123205830585785
"81","TH02",6,"XGB",0.0799575940185246
"82","TH02",6,"LGBM",0.00354168660859577
"83","TH02",6,"RE_boosting",0.0243414387031409
"84","TH02",6,"RE_RF",0.11305599162742
"85","TH02",6,"RE_bag",-0.00013320545609552
"86","TH02",6,"SRE_RF",0.144841012329656
"87","TH02",6,"SRE_bag",0.0869346067117656
"88","TH02",6,"SRE_boosting",0.0756873350074045
"89","TH02",6,"SRE_PLTR",0.11466049382716
"90","TH02",6,"PLTR",0.225127087872186
