dataset,nr_fold,algorithm,metric
AC,1,LRR,0.916603066675918
AC,1,GAM,0.924235065565809
AC,1,LDA,0.94418233539166
AC,1,CTREE,0.924304447373899
AC,1,RF,0.941875390272671
AC,1,LGBM,0.930219246513564
AC,1,RE_boosting,0.935075973079858
AC,1,RE_RF,0.925692083535697
AC,1,RE_bag,0.924512592798168
AC,1,SRE_RF,0.918979393602997
AC,1,SRE_bag,0.924443210990078
AC,1,SRE_boosting,0.932161937140082
AC,1,SRE_PLTR,0.910376049399847
AC,1,PLTR,0.921858738638729
AC,2,LRR,0.907171717171717
AC,2,GAM,0.875707070707071
AC,2,LDA,0.913232323232323
AC,2,CTREE,0.903215488215488
AC,2,RF,0.929377104377104
AC,2,LGBM,0.908047138047138
AC,2,RE_boosting,0.93462962962963
AC,2,RE_RF,0.916414141414141
AC,2,RE_bag,0.915420875420875
AC,2,SRE_RF,0.926313131313131
AC,2,SRE_bag,0.918367003367003
AC,2,SRE_boosting,0.935387205387205
AC,2,SRE_PLTR,0.917020202020202
AC,2,PLTR,0.912003367003367
AC,3,LRR,0.901307300509338
AC,3,GAM,0.862529711375212
AC,3,LDA,0.902852292020374
AC,3,CTREE,0.880899830220713
AC,3,RF,0.920084889643463
AC,3,LGBM,0.926451612903226
AC,3,RE_boosting,0.918285229202037
AC,3,RE_RF,0.900016977928693
AC,3,RE_bag,0.915280135823429
AC,3,SRE_RF,0.893276740237691
AC,3,SRE_bag,0.91449915110356494
AC,3,SRE_boosting,0.915025466893039
AC,3,SRE_PLTR,0.905110356536503
AC,3,PLTR,0.904550084889644
AC,4,LRR,0.922722934278702
AC,4,GAM,0.900974911371693
AC,4,LDA,0.926711208071993
AC,4,CTREE,0.934329833651486
AC,4,RF,0.94009067357513
AC,4,LGBM,0.936272838832833
AC,4,RE_boosting,0.936630760839924
AC,4,RE_RF,0.943141532587946
AC,4,RE_bag,0.933392418871012
AC,4,SRE_RF,0.94375511317153
AC,4,SRE_bag,0.934125306790292
AC,4,SRE_boosting,0.94191437142078
AC,4,SRE_PLTR,0.916450777202073
AC,4,PLTR,0.936784155985819
AC,5,LRR,0.894399249061327
AC,5,GAM,0.883795716868308
AC,5,LDA,0.90157836184119
AC,5,CTREE,0.908479349186483
AC,5,RF,0.92155124461132
AC,5,LGBM,0.908531497705465
AC,5,RE_boosting,0.918961201501877
AC,5,RE_RF,0.903438325684884
AC,5,RE_bag,0.926279376999027
AC,5,SRE_RF,0.920178000278125
AC,5,SRE_bag,0.922037964121819
AC,5,SRE_boosting,0.92787859824781
AC,5,SRE_PLTR,0.902395355305243
AC,5,PLTR,0.905732860520095
AC,6,LRR,0.930874335330147
AC,6,GAM,0.875058894797065
AC,6,LDA,0.918523255031298
AC,6,CTREE,0.925119472302618
AC,6,RF,0.930504139462879
AC,6,LGBM,0.925960826546409
AC,6,RE_boosting,0.927862287137376
AC,6,RE_RF,0.93392003769267
AC,6,RE_bag,0.928215655919769
AC,6,SRE_RF,0.927508918354984
AC,6,SRE_bag,0.920542505216396
AC,6,SRE_boosting,0.93082385407552
AC,6,SRE_PLTR,0.929679612303964
AC,6,PLTR,0.913979942114828
BF,1,LRR,0.809145125470587
BF,1,GAM,0.872131876753006
BF,1,LDA,0.808079906849154
BF,1,CTREE,0.770211065420669
BF,1,RF,0.813614562127388
BF,1,LGBM,0.877313106170199
BF,1,RE_boosting,0.867651078855258
BF,1,RE_RF,0.867673077490776
BF,1,RE_bag,0.856363040806871
BF,1,SRE_RF,0.851249475290056
BF,1,SRE_bag,0.83971403913894
BF,1,SRE_boosting,0.850694946022776
BF,1,SRE_PLTR,0.848417788266627
BF,1,PLTR,0.841979143279348
BF,2,LRR,0.803686819897132
BF,2,GAM,0.860427118521928
BF,2,LDA,0.797189630449358
BF,2,CTREE,0.75647619754923
BF,2,RF,0.817093273068159
BF,2,LGBM,0.879196678939919
BF,2,RE_boosting,0.861688333203571
BF,2,RE_RF,0.862295066787308
BF,2,RE_bag,0.837899047644964
