dataset,nr_fold,algorithm,metric
AC,1,LRR,0.0968321796382466
AC,1,GAM,0.106549653854105
AC,1,LDA,0.0987090861812177
AC,1,CTREE,0.0971437685559127
AC,1,RF,0.0931684144615334
AC,1,LGBM,0.100089059622899
AC,1,RE_boosting,0.103556327497872
AC,1,RE_RF,0.103013982501034
AC,1,RE_bag,0.10193050572007
AC,1,SRE_RF,0.103224974184774
AC,1,SRE_bag,0.109591738628437
AC,1,SRE_boosting,0.0996712605185827
AC,1,SRE_PLTR,0.100515859939615
AC,1,PLTR,0.10007912834043001
AC,2,LRR,0.10567041111143
AC,2,GAM,0.140807490911611
AC,2,LDA,0.11150296014316
AC,2,CTREE,0.113446214507835
AC,2,RF,0.100378045474027
AC,2,LGBM,0.11614868827838
AC,2,RE_boosting,0.104645550887226
AC,2,RE_RF,0.106556314717415
AC,2,RE_bag,0.106143126209995
AC,2,SRE_RF,0.106725361779762
AC,2,SRE_bag,0.104249337329584
AC,2,SRE_boosting,0.0980953470495599
AC,2,SRE_PLTR,0.107245461486014
AC,2,PLTR,0.108806149507129
AC,3,LRR,0.119575812425162
AC,3,GAM,0.147885476617711
AC,3,LDA,0.135287866248716
AC,3,CTREE,0.126648698924935
AC,3,RF,0.107803567005758
AC,3,LGBM,0.107098884871516
AC,3,RE_boosting,0.120955237631894
AC,3,RE_RF,0.121218231368035
AC,3,RE_bag,0.114828038474148
AC,3,SRE_RF,0.115864398381104
AC,3,SRE_bag,0.124613156470322
AC,3,SRE_boosting,0.115881990588322
AC,3,SRE_PLTR,0.117901015104007
AC,3,PLTR,0.117845330662654
AC,4,LRR,0.0941906085418057
AC,4,GAM,0.116641356805502
AC,4,LDA,0.0942155720843263
AC,4,CTREE,0.089642324132982
AC,4,RF,0.0866912661170333
AC,4,LGBM,0.0874055554327026
AC,4,RE_boosting,0.0916953137080667
AC,4,RE_RF,0.0887522960923207
AC,4,RE_bag,0.0943478642294231
AC,4,SRE_RF,0.0978832186450618
AC,4,SRE_bag,0.0985254104552226
AC,4,SRE_boosting,0.0953367520823757
AC,4,SRE_PLTR,0.0990256352577198
AC,4,PLTR,0.0990150576932585
AC,5,LRR,0.114065273220623
AC,5,GAM,0.141349295688135
AC,5,LDA,0.131574008521712
AC,5,CTREE,0.110406389436415
AC,5,RF,0.106644427438007
AC,5,LGBM,0.122761865437577
AC,5,RE_boosting,0.119927864453812
AC,5,RE_RF,0.115134712726024
AC,5,RE_bag,0.106447378586317
AC,5,SRE_RF,0.107726446779449
AC,5,SRE_bag,0.107528867841817
AC,5,SRE_boosting,0.111812398731781
AC,5,SRE_PLTR,0.117405691800588
AC,5,PLTR,0.116577140286107
AC,6,LRR,0.0972600167575422
AC,6,GAM,0.132955884193173
AC,6,LDA,0.101981355481016
AC,6,CTREE,0.10001047375262
AC,6,RF,0.102592662555457
AC,6,LGBM,0.107571972142064
AC,6,RE_boosting,0.0963887251308902
AC,6,RE_RF,0.103025224537065
AC,6,RE_bag,0.100060395348227
AC,6,SRE_RF,0.113577620244415
AC,6,SRE_bag,0.112104084181539
AC,6,SRE_boosting,0.0961772217883293
AC,6,SRE_PLTR,0.102871080178433
AC,6,PLTR,0.10758976896879
BF,1,LRR,0.135090321398724
BF,1,GAM,0.121659732677821
BF,1,LDA,0.13935315219555
BF,1,CTREE,0.136006131946757
BF,1,RF,0.117858288600554
BF,1,LGBM,0.0978344201430308
BF,1,RE_boosting,0.101792011982096
BF,1,RE_RF,0.101257327298288
BF,1,RE_bag,0.109039282079593
BF,1,SRE_RF,0.109498079899845
BF,1,SRE_bag,0.114219560771327
BF,1,SRE_boosting,0.109416202616833
BF,1,SRE_PLTR,0.113221989265499
BF,1,PLTR,0.115654970129451
BF,2,LRR,0.138018142752156
BF,2,GAM,0.126138659080284
BF,2,LDA,0.145450424446667
BF,2,CTREE,0.139977602334858
BF,2,RF,0.11964729878221
BF,2,LGBM,0.099568613606086
BF,2,RE_boosting,0.107307739719215
BF,2,RE_RF,0.108242363701811
BF,2,RE_bag,0.120112250663957
BF,2,SRE_RF,0.113765006034297
BF,2,SRE_bag,0.124202133653304
BF,2,SRE_boosting,0.112219592415415
BF,2,SRE_PLTR,0.11659704399533
BF,2,PLTR,0.118729511114632
BF,3,LRR,0.135795005866407
BF,3,GAM,0.122538571854456
BF,3,LDA,0.141090213720872
BF,3,CTREE,0.136555573101108
BF,3,RF,0.120033231162786
BF,3,LGBM,0.0995167796894433
BF,3,RE_boosting,0.106587613548459
BF,3,RE_RF,0.106074953678719
BF,3,RE_bag,0.109468223592382
BF,3,SRE_RF,0.112752833933516
BF,3,SRE_bag,0.115377392953882
BF,3,SRE_boosting,0.111293911935447
BF,3,SRE_PLTR,0.114829061675214
BF,3,PLTR,0.117536195433838
BF,4,LRR,0.137331373477605
BF,4,GAM,0.125057875468395
BF,4,LDA,0.14390817252983
BF,4,CTREE,0.136256373172119
BF,4,RF,0.120649394176552
BF,4,LGBM,0.0973635932435302
BF,4,RE_boosting,0.105285562720411
BF,4,RE_RF,0.1036119697783
BF,4,RE_bag,0.11208844917154
BF,4,SRE_RF,0.111334670476489
BF,4,SRE_bag,0.116532702290313
BF,4,SRE_boosting,0.112973843159621
BF,4,SRE_PLTR,0.115799515283238
BF,4,PLTR,0.118078902279978
BF,5,LRR,0.13436333107862
BF,5,GAM,0.123066006431644
BF,5,LDA,0.13992921093094
BF,5,CTREE,0.129876402626427
BF,5,RF,0.116603787952511
BF,5,LGBM,0.0939950662245223
BF,5,RE_boosting,0.10334362395188
BF,5,RE_RF,0.103366208548098
BF,5,RE_bag,0.106671501239687
BF,5,SRE_RF,0.109462034511777
BF,5,SRE_bag,0.112484861808874
BF,5,SRE_boosting,0.108391874203479
BF,5,SRE_PLTR,0.111996280186628
BF,5,PLTR,0.115022192378941
BF,6,LRR,0.138753174856656
BF,6,GAM,0.125605448403985
BF,6,LDA,0.144545174153398
BF,6,CTREE,0.139331145057433
BF,6,RF,0.121186249278144
BF,6,LGBM,0.102031052264639
BF,6,RE_boosting,0.109042085114473
BF,6,RE_RF,0.106893917365057
BF,6,RE_bag,0.123514804281109
BF,6,SRE_RF,0.115383390807405
BF,6,SRE_bag,0.1192430580369
BF,6,SRE_boosting,0.113286689618606
BF,6,SRE_PLTR,0.117933858286112
BF,6,PLTR,0.120686868506862
GC,1,LRR,0.163704878130737
GC,1,GAM,0.163409802479112
GC,1,LDA,0.165284723126843
GC,1,CTREE,0.173609905116463
GC,1,RF,0.15989976943824
GC,1,LGBM,0.164008234411769
GC,1,RE_boosting,0.169181673156091
GC,1,RE_RF,0.159445220086005
GC,1,RE_bag,0.162920140502526
GC,1,SRE_RF,0.17692887509679
GC,1,SRE_bag,0.167540742825632
GC,1,SRE_boosting,0.166832076446644
GC,1,SRE_PLTR,0.180091674344538
GC,1,PLTR,0.179932793399414
GC,2,LRR,0.177218478162507
GC,2,GAM,0.177360797681564
GC,2,LDA,0.178768378765262
GC,2,CTREE,0.191819710666102
GC,2,RF,0.175915188883506
GC,2,LGBM,0.181130290245795
GC,2,RE_boosting,0.177678322202664
GC,2,RE_RF,0.179994522333261
GC,2,RE_bag,0.177851529864338
GC,2,SRE_RF,0.19044919260965
GC,2,SRE_bag,0.18229887373907
GC,2,SRE_boosting,0.182290622144643
GC,2,SRE_PLTR,0.200881997954582
GC,2,PLTR,0.201512164819365
GC,3,LRR,0.1761957598322
GC,3,GAM,0.172796986816021
GC,3,LDA,0.16496674408397
GC,3,CTREE,0.195804433307628
GC,3,RF,0.18083697083369
GC,3,LGBM,0.177221698746812
GC,3,RE_boosting,0.183868390407002
GC,3,RE_RF,0.197114169373276
GC,3,RE_bag,0.182068364143905
GC,3,SRE_RF,0.198305012495645
GC,3,SRE_bag,0.193916719497451
GC,3,SRE_boosting,0.189477065633106
GC,3,SRE_PLTR,0.188912045861863
GC,3,PLTR,0.189052005435312
GC,4,LRR,0.168962578921092
GC,4,GAM,0.181403281837108
GC,4,LDA,0.175839379844702
GC,4,CTREE,0.189918566363352
GC,4,RF,0.173655303154356
GC,4,LGBM,0.173153735355611
GC,4,RE_boosting,0.18459748868355
GC,4,RE_RF,0.186740742400324
GC,4,RE_bag,0.188719146406015
GC,4,SRE_RF,0.180059637792452
GC,4,SRE_bag,0.178894341934167
GC,4,SRE_boosting,0.179627370572583
GC,4,SRE_PLTR,0.179802081181597
GC,4,PLTR,0.179993560059528
GC,5,LRR,0.174182402926217
GC,5,GAM,0.168544889287454
GC,5,LDA,0.169156349168118
GC,5,CTREE,0.185342382849287
GC,5,RF,0.175603123547392
GC,5,LGBM,0.176373819481182
GC,5,RE_boosting,0.180145127727583
GC,5,RE_RF,0.174895434491996
GC,5,RE_bag,0.18166077778973
GC,5,SRE_RF,0.18675673189572
GC,5,SRE_bag,0.180348806266087
GC,5,SRE_boosting,0.175898681664477
GC,5,SRE_PLTR,0.184417627070359
GC,5,PLTR,0.185547489718802
GC,6,LRR,0.161575251192639
GC,6,GAM,0.167595897308467
GC,6,LDA,0.164911402909303
GC,6,CTREE,0.177173776891643
GC,6,RF,0.172723903128531
GC,6,LGBM,0.167327460459027
GC,6,RE_boosting,0.182966086860083
GC,6,RE_RF,0.174473395030052
GC,6,RE_bag,0.174196789598449
GC,6,SRE_RF,0.17610151497252
GC,6,SRE_bag,0.179765635968368
GC,6,SRE_boosting,0.181117888749441
GC,6,SRE_PLTR,0.185221078518799
GC,6,PLTR,0.185060371553295
GMSC,1,LRR,0.0505875567610402
GMSC,1,GAM,0.0550943920260026
GMSC,1,LDA,0.0613908433167109
GMSC,1,CTREE,0.0527739119473258
GMSC,1,RF,0.0510573677509463
GMSC,1,LGBM,0.0528661566395336
GMSC,1,RE_boosting,0.0506615248979034
GMSC,1,RE_RF,0.0511942352082529
GMSC,1,RE_bag,0.0503809587474343
GMSC,1,SRE_RF,0.0502528858270606
GMSC,1,SRE_bag,0.0501971246899417
GMSC,1,SRE_boosting,0.0501172256739172
GMSC,1,SRE_PLTR,0.0502985523195918
GMSC,1,PLTR,0.0538323816062451
GMSC,2,LRR,0.0512376014829956
GMSC,2,GAM,0.0564656541289723
GMSC,2,LDA,0.0618310997348957
GMSC,2,CTREE,0.0532206739327851
GMSC,2,RF,0.0514706288057079
GMSC,2,LGBM,0.0534193420827803
GMSC,2,RE_boosting,0.050877981924953
GMSC,2,RE_RF,0.0510655943974148
GMSC,2,RE_bag,0.0517360597676707
GMSC,2,SRE_RF,0.0514789083940099
GMSC,2,SRE_bag,0.0516074694023517
GMSC,2,SRE_boosting,0.0506611578242413
GMSC,2,SRE_PLTR,0.0512190646837111
GMSC,2,PLTR,0.0555517739763481
GMSC,3,LRR,0.0524071128100444
GMSC,3,GAM,0.0575760727655646
GMSC,3,LDA,0.0633757024300064
GMSC,3,CTREE,0.0538064162873936
GMSC,3,RF,0.0528568017232921
GMSC,3,LGBM,0.0536777038482648
GMSC,3,RE_boosting,0.0520002381958408
GMSC,3,RE_RF,0.0529325808621375
GMSC,3,RE_bag,0.0528905200628501
GMSC,3,SRE_RF,0.0521129706656224
GMSC,3,SRE_bag,0.0522453717474352
GMSC,3,SRE_boosting,0.0523760871783636
GMSC,3,SRE_PLTR,0.0524871700085606
GMSC,3,PLTR,0.0637874466286107
GMSC,4,LRR,0.049377480195212
GMSC,4,GAM,0.0541532084743041
GMSC,4,LDA,0.0598943099067369
GMSC,4,CTREE,0.0510677724396261
GMSC,4,RF,0.0499988284313123
GMSC,4,LGBM,0.0515640924220817
GMSC,4,RE_boosting,0.0496666267441729
GMSC,4,RE_RF,0.0488712516008717
GMSC,4,RE_bag,0.0490247956188584
GMSC,4,SRE_RF,0.0495845970324013
GMSC,4,SRE_bag,0.0491080011353926
GMSC,4,SRE_boosting,0.0487955236387105
GMSC,4,SRE_PLTR,0.0489934406611254
GMSC,4,PLTR,0.0513305339505693
GMSC,5,LRR,0.0504239308904722
GMSC,5,GAM,0.0560316533257307
GMSC,5,LDA,0.0620490246549149
GMSC,5,CTREE,0.0534783434219237
GMSC,5,RF,0.0511567779697255
GMSC,5,LGBM,0.0530053778604488
GMSC,5,RE_boosting,0.0510640943989416
GMSC,5,RE_RF,0.0507749797181904
GMSC,5,RE_bag,0.0511034272138697
GMSC,5,SRE_RF,0.0507282862507739
GMSC,5,SRE_bag,0.0507580147447286
GMSC,5,SRE_boosting,0.0499552218897642
GMSC,5,SRE_PLTR,0.0504632879712474
GMSC,5,PLTR,0.0603970249093574
GMSC,6,LRR,0.0511139572336219
GMSC,6,GAM,0.0553895505324239
GMSC,6,LDA,0.0611987176541905
GMSC,6,CTREE,0.0531914278761625
GMSC,6,RF,0.0516457832801351
GMSC,6,LGBM,0.0525534597371719
GMSC,6,RE_boosting,0.0523969370603705
GMSC,6,RE_RF,0.0512129925341196
GMSC,6,RE_bag,0.050307783915292
GMSC,6,SRE_RF,0.0506762996263062
GMSC,6,SRE_bag,0.0504496453915102
GMSC,6,SRE_boosting,0.0504707627462529
GMSC,6,SRE_PLTR,0.0510947335398332
GMSC,6,PLTR,0.0547613535591868
HMEQ,1,LRR,0.08380563870977
HMEQ,1,GAM,0.0700335171521511
HMEQ,1,LDA,0.0835216094743995
HMEQ,1,CTREE,0.0927595566165928
HMEQ,1,RF,0.0648875920995843
HMEQ,1,LGBM,0.062661327465469
HMEQ,1,RE_boosting,0.0712999594965254
HMEQ,1,RE_RF,0.072639604205515
HMEQ,1,RE_bag,0.0768618059362494
HMEQ,1,SRE_RF,0.0757723825161447
HMEQ,1,SRE_bag,0.0804539883358231
HMEQ,1,SRE_boosting,0.0703619433494754
HMEQ,1,SRE_PLTR,0.0773680557787959
HMEQ,1,PLTR,0.0771946449339972
HMEQ,2,LRR,0.0889074834145763
HMEQ,2,GAM,0.0802711296353315
HMEQ,2,LDA,0.0957591252584177
HMEQ,2,CTREE,0.0970646745639114
HMEQ,2,RF,0.0693512227668137
HMEQ,2,LGBM,0.0690349205364325
HMEQ,2,RE_boosting,0.0748166418807865
HMEQ,2,RE_RF,0.0774864476900361
HMEQ,2,RE_bag,0.0816291010009351
HMEQ,2,SRE_RF,0.0759395013353021
HMEQ,2,SRE_bag,0.0827626656681551
HMEQ,2,SRE_boosting,0.0775586051872673
HMEQ,2,SRE_PLTR,0.0783245366089958
HMEQ,2,PLTR,0.078001938355322
HMEQ,3,LRR,0.0842591908429977
HMEQ,3,GAM,0.0731421310080523
HMEQ,3,LDA,0.0885214233221599
HMEQ,3,CTREE,0.097670260517957
HMEQ,3,RF,0.0656599721158307
HMEQ,3,LGBM,0.0681697052516309
HMEQ,3,RE_boosting,0.0711160463485818
HMEQ,3,RE_RF,0.076185694101314
HMEQ,3,RE_bag,0.077218106770764
HMEQ,3,SRE_RF,0.0736659285468584
HMEQ,3,SRE_bag,0.0796154417378343
HMEQ,3,SRE_boosting,0.0722537318722988
HMEQ,3,SRE_PLTR,0.0772056884765338
HMEQ,3,PLTR,0.0766401287319334
HMEQ,4,LRR,0.0861807465716589
HMEQ,4,GAM,0.0753877419397401
HMEQ,4,LDA,0.0907070283528267
HMEQ,4,CTREE,0.0942919911473516
HMEQ,4,RF,0.0689383530238446
HMEQ,4,LGBM,0.0732813185086914
HMEQ,4,RE_boosting,0.0714459536053444
HMEQ,4,RE_RF,0.0711033263076495
HMEQ,4,RE_bag,0.0786105338294675
HMEQ,4,SRE_RF,0.0694872889815878
HMEQ,4,SRE_bag,0.0788311054654009
HMEQ,4,SRE_boosting,0.0718784749250837
HMEQ,4,SRE_PLTR,0.0753795023673189
HMEQ,4,PLTR,0.075442003047641
HMEQ,5,LRR,0.084033112507308
HMEQ,5,GAM,0.0742774583619531
HMEQ,5,LDA,0.0892991784595598
HMEQ,5,CTREE,0.0889910644609689
HMEQ,5,RF,0.0637236218341188
HMEQ,5,LGBM,0.062391552825843
HMEQ,5,RE_boosting,0.0678850915252134
HMEQ,5,RE_RF,0.072820529946645507
HMEQ,5,RE_bag,0.0774149667814543
HMEQ,5,SRE_RF,0.0698161360245098
HMEQ,5,SRE_bag,0.0799365182631872
HMEQ,5,SRE_boosting,0.0710439775402094
HMEQ,5,SRE_PLTR,0.0752383304291448
HMEQ,5,PLTR,0.0749394895468322
HMEQ,6,LRR,0.0853551031501904
HMEQ,6,GAM,0.0751478945838898
HMEQ,6,LDA,0.0890066119208408
HMEQ,6,CTREE,0.0894098104263073
HMEQ,6,RF,0.0651384295726243
HMEQ,6,LGBM,0.0646914951712703
HMEQ,6,RE_boosting,0.0692258428483236
HMEQ,6,RE_RF,0.0694174625946667
HMEQ,6,RE_bag,0.0773862276205409
HMEQ,6,SRE_RF,0.0742032353180684
HMEQ,6,SRE_bag,0.0797198478411266
HMEQ,6,SRE_boosting,0.0720163191249414
HMEQ,6,SRE_PLTR,0.0727353363177761
HMEQ,6,PLTR,0.072757079681006
LC,1,LRR,0.216016730989329
LC,1,GAM,0.215914829397542
LC,1,LDA,0.215651589898348
LC,1,CTREE,0.232069694340502
LC,1,RF,0.214745418629207
LC,1,LGBM,0.226002871774078
LC,1,RE_boosting,0.232683786420219
LC,1,RE_RF,0.222493022239361
LC,1,RE_bag,0.228746071119893
LC,1,SRE_RF,0.216708837230897
LC,1,SRE_bag,0.215179085504455
LC,1,SRE_boosting,0.215001182468446
LC,1,SRE_PLTR,0.216935721046934
LC,1,PLTR,0.217275672673344
LC,2,LRR,0.219498479996229
LC,2,GAM,0.222675612654696
LC,2,LDA,0.218709602458191
LC,2,CTREE,0.239337374645535
LC,2,RF,0.229930507191522
LC,2,LGBM,0.236205927137838
LC,2,RE_boosting,0.231196832216352
LC,2,RE_RF,0.231512544862809
LC,2,RE_bag,0.234774772951466
LC,2,SRE_RF,0.220987413668584
LC,2,SRE_bag,0.223998098516174
LC,2,SRE_boosting,0.215594841296629
LC,2,SRE_PLTR,0.228936907359585
LC,2,PLTR,0.22952318679649
LC,3,LRR,0.209140283637018
LC,3,GAM,0.211158713284424
LC,3,LDA,0.209461003203187
LC,3,CTREE,0.223108877855642
LC,3,RF,0.212286449659349
LC,3,LGBM,0.22172637167202
LC,3,RE_boosting,0.218256431663608
LC,3,RE_RF,0.22359643893285
LC,3,RE_bag,0.214835522620972
LC,3,SRE_RF,0.215781146960046
LC,3,SRE_bag,0.213866471701955
LC,3,SRE_boosting,0.208479228716566
LC,3,SRE_PLTR,0.211396193042367
LC,3,PLTR,0.211337936231061
LC,4,LRR,0.220989356611473
LC,4,GAM,0.221363395299021
LC,4,LDA,0.222865007293174
LC,4,CTREE,0.235782316697221
LC,4,RF,0.223871929409538
LC,4,LGBM,0.233796500822544
LC,4,RE_boosting,0.240275346574121
LC,4,RE_RF,0.229780145112731
LC,4,RE_bag,0.243654197818097
LC,4,SRE_RF,0.220298067526151
LC,4,SRE_bag,0.222707514239163
LC,4,SRE_boosting,0.223709645464276
LC,4,SRE_PLTR,0.22328311801259
LC,4,PLTR,0.223363229049546
LC,5,LRR,0.214713530531847
LC,5,GAM,0.213094542373581
LC,5,LDA,0.214785784840363
LC,5,CTREE,0.237670474038906
LC,5,RF,0.220282681470267
LC,5,LGBM,0.226720613308524
LC,5,RE_boosting,0.237200295471957
LC,5,RE_RF,0.226303686211132
LC,5,RE_bag,0.231434679446005
LC,5,SRE_RF,0.220490223666908
LC,5,SRE_bag,0.221895798923411
LC,5,SRE_boosting,0.217458853797727
LC,5,SRE_PLTR,0.220620457685274
LC,5,PLTR,0.220762057630345
LC,6,LRR,0.214749661197417
LC,6,GAM,0.217162757253962
LC,6,LDA,0.214925688613037
LC,6,CTREE,0.222314387880322
LC,6,RF,0.218248318824123
LC,6,LGBM,0.228691231443169
LC,6,RE_boosting,0.231670664186799
LC,6,RE_RF,0.219730864964145
LC,6,RE_bag,0.218596765574603
LC,6,SRE_RF,0.214877848573301
LC,6,SRE_bag,0.212481054155028
LC,6,SRE_boosting,0.220453269964148
LC,6,SRE_PLTR,0.218444910269919
LC,6,PLTR,0.218507797109928
PAKDD,3,LRR,0.187404050016755
PAKDD,3,GAM,0.18789036786472
PAKDD,3,LDA,0.18781803065452
PAKDD,3,CTREE,0.18845234396817
PAKDD,3,RF,0.188384563034926
PAKDD,3,LGBM,0.187183659872262
PAKDD,3,RE_boosting,0.187507414779477
PAKDD,3,RE_RF,0.187730991824569
PAKDD,3,RE_bag,0.188231399548395
PAKDD,3,SRE_RF,0.187717877860552
PAKDD,3,SRE_bag,0.187717877860552
PAKDD,3,SRE_boosting,0.187577984183751
PAKDD,3,SRE_PLTR,0.187717877860552
PAKDD,3,PLTR,0.187829031872572
PAKDD,4,LRR,0.186961180048471
PAKDD,4,GAM,0.187603300517289
PAKDD,4,LDA,0.187432641537178
PAKDD,4,CTREE,0.187793311660722
PAKDD,4,RF,0.187774208233601
PAKDD,4,LGBM,0.18663613455971
PAKDD,4,RE_boosting,0.187701473796843
PAKDD,4,RE_RF,0.187844714631041
PAKDD,4,RE_bag,0.187815692221123
PAKDD,4,SRE_RF,0.18708630415287
PAKDD,4,SRE_bag,0.18708630415287
PAKDD,4,SRE_boosting,0.187096253068345
PAKDD,4,SRE_PLTR,0.18708630415287
PAKDD,4,PLTR,0.187159559318797
PAKDD,5,LRR,0.187155896453059
PAKDD,5,GAM,0.188079687573133
PAKDD,5,LDA,0.187944834105886
PAKDD,5,CTREE,0.188078273127769
PAKDD,5,RF,0.188165762423726
PAKDD,5,LGBM,0.186860847080907
PAKDD,5,RE_boosting,0.187051048292352
PAKDD,5,RE_RF,0.187689915162479
PAKDD,5,RE_bag,0.187818495129268
PAKDD,5,SRE_RF,0.187349740696284
PAKDD,5,SRE_bag,0.187349740696284
PAKDD,5,SRE_boosting,0.187268071661781
PAKDD,5,SRE_PLTR,0.187349740696284
PAKDD,5,PLTR,0.187445949150296
PAKDD,6,LRR,0.187367333857188
PAKDD,6,GAM,0.187807405724764
PAKDD,6,LDA,0.187759963552413
PAKDD,6,CTREE,0.188281954175524
PAKDD,6,RF,0.188482825166531
PAKDD,6,LGBM,0.186875175905248
PAKDD,6,RE_boosting,0.187298911108287
PAKDD,6,RE_RF,0.188022837566862
PAKDD,6,RE_bag,0.187708945631272
PAKDD,6,SRE_RF,0.187700909045096
PAKDD,6,SRE_bag,0.187700909045096
PAKDD,6,SRE_boosting,0.187337640990308
PAKDD,6,SRE_PLTR,0.187700909045096
PAKDD,6,PLTR,0.187784544496069
TC,1,LRR,0.147920947440392
TC,1,GAM,0.148420355994215
TC,1,LDA,0.14931791013915
TC,1,CTREE,0.141762301236084
TC,1,RF,0.142088980612288
TC,1,LGBM,0.143149777489299
TC,1,RE_boosting,0.138337617402619
TC,1,RE_RF,0.141395195639695
TC,1,RE_bag,0.141132396905098
TC,1,SRE_RF,0.140813197353553
TC,1,SRE_bag,0.142161100624026
TC,1,SRE_boosting,0.138621958801282
TC,1,SRE_PLTR,0.140327842288161
TC,1,PLTR,0.14079120517783
TC,2,LRR,0.143045053183901
TC,2,GAM,0.141230085306719
TC,2,LDA,0.143588719862864
TC,2,CTREE,0.137471624044909
TC,2,RF,0.136048968070069
TC,2,LGBM,0.138849692204802
TC,2,RE_boosting,0.135445075003219
TC,2,RE_RF,0.134155594826369
TC,2,RE_bag,0.136708048172262
TC,2,SRE_RF,0.134474786914714
TC,2,SRE_bag,0.137682468713937
TC,2,SRE_boosting,0.133781455638741
TC,2,SRE_PLTR,0.135738126222933
TC,2,PLTR,0.135964278215079
TC,3,LRR,0.14616274811151
TC,3,GAM,0.145628317825384
TC,3,LDA,0.147301946340865
TC,3,CTREE,0.140565135252814
TC,3,RF,0.140779922965208
TC,3,LGBM,0.141669962220778
TC,3,RE_boosting,0.138797542581985
TC,3,RE_RF,0.138483466464216
TC,3,RE_bag,0.139205121790478
TC,3,SRE_RF,0.138395702468524
TC,3,SRE_bag,0.140973294428127
TC,3,SRE_boosting,0.13707754116167
TC,3,SRE_PLTR,0.139942530447348
TC,3,PLTR,0.140244531058096
TC,4,LRR,0.144250536169818
TC,4,GAM,0.146386905364214
TC,4,LDA,0.145484034352118
TC,4,CTREE,0.138848279720116
TC,4,RF,0.140178278881561
TC,4,LGBM,0.143522180349838
TC,4,RE_boosting,0.138859409729725
TC,4,RE_RF,0.136546504560369
TC,4,RE_bag,0.138139566872707
TC,4,SRE_RF,0.137318604935109
TC,4,SRE_bag,0.138865554425562
TC,4,SRE_boosting,0.136581246542141
TC,4,SRE_PLTR,0.138412944905339
TC,4,PLTR,0.138785063385708
TC,5,LRR,0.147228364226627
TC,5,GAM,0.1470712469968
TC,5,LDA,0.148794463907026
TC,5,CTREE,0.142999442064188
TC,5,RF,0.142166629066031
TC,5,LGBM,0.142946662951018
TC,5,RE_boosting,0.14031922782708
TC,5,RE_RF,0.140052336846735
TC,5,RE_bag,0.141019873700388
TC,5,SRE_RF,0.14055546860566
TC,5,SRE_bag,0.141689988242752
TC,5,SRE_boosting,0.140936485456638
TC,5,SRE_PLTR,0.139945850960416
TC,5,PLTR,0.140348317418392
TC,6,LRR,0.142489995594776
TC,6,GAM,0.142145286300405
TC,6,LDA,0.14353668086585
TC,6,CTREE,0.134760191984702
TC,6,RF,0.137839358618388
TC,6,LGBM,0.13638101910529
TC,6,RE_boosting,0.13541062997311001
TC,6,RE_RF,0.135808378850526
TC,6,RE_bag,0.135765359031803
TC,6,SRE_RF,0.135794637800164
TC,6,SRE_bag,0.136550440798309
TC,6,SRE_boosting,0.134842171827531
