dataset,nr_fold,algorithm,metric
AC,1,LRR,0.0929453335299468
AC,1,GAM,0.0912746587987754
AC,1,LDA,0.0960373034396338
AC,1,CTREE,0.0928354946225443
AC,1,RF,0.0962729948975503
AC,1,LGBM,0.0939306660776938
AC,1,RE_boosting,0.0965460764234884
AC,1,RE_RF,0.0941262720112281
AC,1,RE_bag,0.0938391096116578
AC,1,SRE_RF,0.094437950116995
AC,1,SRE_bag,0.0936700528858109
AC,1,SRE_boosting,0.0939451242031135
AC,1,SRE_PLTR,0.0931869878222507
AC,1,PLTR,0.0937622112973118
AC,2,LRR,0.110941217683678
AC,2,GAM,0.105370753344361
AC,2,LDA,0.111429409297776
AC,2,CTREE,0.10901765909846001
AC,2,RF,0.111808467677876
AC,2,LGBM,0.110368237734098
AC,2,RE_boosting,0.109799468430954
AC,2,RE_RF,0.110995511357606
AC,2,RE_bag,0.110510763732516
AC,2,SRE_RF,0.110812328684491
AC,2,SRE_bag,0.110443560278703
AC,2,SRE_boosting,0.112757652116959
AC,2,SRE_PLTR,0.110776105651137
AC,2,PLTR,0.11020386788708
AC,3,LRR,0.100706001251124
AC,3,GAM,0.0938376256315217
AC,3,LDA,0.102075867676996
AC,3,CTREE,0.0969970515136677
AC,3,RF,0.102479120954844
AC,3,LGBM,0.0996707911045594
AC,3,RE_boosting,0.102003394530884
AC,3,RE_RF,0.0994035911566327
AC,3,RE_bag,0.102417246319034
AC,3,SRE_RF,0.101686462922515
AC,3,SRE_bag,0.100835160413485
AC,3,SRE_boosting,0.101520794274278
AC,3,SRE_PLTR,0.0993836579886561
AC,3,PLTR,0.0992847296554753
AC,4,LRR,0.101091103832387
AC,4,GAM,0.0941441284080773
AC,4,LDA,0.103631966341955
AC,4,CTREE,0.102518530810121
AC,4,RF,0.102395283915157
AC,4,LGBM,0.102643619116281
AC,4,RE_boosting,0.102532994335816
AC,4,RE_RF,0.103350112749457
AC,4,RE_bag,0.102236736744818
AC,4,SRE_RF,0.103089357059557
AC,4,SRE_bag,0.103006508124454
AC,4,SRE_boosting,0.1015139893749
AC,4,SRE_PLTR,0.102373884542205
AC,4,PLTR,0.102452115851691
AC,5,LRR,0.0893778361093762
AC,5,GAM,0.0905044233131462
AC,5,LDA,0.0913548001677361
AC,5,CTREE,0.0899932611956522
AC,5,RF,0.0918874085146528
AC,5,LGBM,0.0878559936086251
AC,5,RE_boosting,0.0921565673236945
AC,5,RE_RF,0.0904131003734335
AC,5,RE_bag,0.0915482414376812
AC,5,SRE_RF,0.0914949412971401
AC,5,SRE_bag,0.0919610186941445
AC,5,SRE_boosting,0.0921609968806656
AC,5,SRE_PLTR,0.0895151030808186
AC,5,PLTR,0.0910180148809495
AC,6,LRR,0.11257071702734
AC,6,GAM,0.104903946132002
AC,6,LDA,0.113131731022007
AC,6,CTREE,0.111539868397616
AC,6,RF,0.111772180948737
AC,6,LGBM,0.11247491554746
AC,6,RE_boosting,0.113694147755828
AC,6,RE_RF,0.114493630959711
AC,6,RE_bag,0.11398472965722
AC,6,SRE_RF,0.113996503907532
AC,6,SRE_bag,0.114046315631843
AC,6,SRE_boosting,0.114269479110711
AC,6,SRE_PLTR,0.111362812594624
AC,6,PLTR,0.107940519152746
BF,1,LRR,0.0238578849470308
BF,1,GAM,0.0318845008454306
BF,1,LDA,0.0289358528927336
BF,1,CTREE,0.0245279005068266
BF,1,RF,0.028351413465541
BF,1,LGBM,0.0375950958936145
BF,1,RE_boosting,0.0362580012481713
BF,1,RE_RF,0.0363560417788935
BF,1,RE_bag,0.0348706120751824
BF,1,SRE_RF,0.0334098333114124
BF,1,SRE_bag,0.0320565911989319
BF,1,SRE_boosting,0.0335411292081877
BF,1,SRE_PLTR,0.0331078397995274
BF,1,PLTR,0.032239420109288
BF,2,LRR,0.0238434900901716
BF,2,GAM,0.0306267378189338
BF,2,LDA,0.027874688803651
BF,2,CTREE,0.0234040295054957
BF,2,RF,0.0283162284070272
BF,2,LGBM,0.0369662907238038
BF,2,RE_boosting,0.0361910186216789
BF,2,RE_RF,0.0354884923460686
BF,2,RE_bag,0.0316164077814568
BF,2,SRE_RF,0.0324905180003687
BF,2,SRE_bag,0.0294381654713019
BF,2,SRE_boosting,0.0332098339181234
BF,2,SRE_PLTR,0.0324507733087969
BF,2,PLTR,0.031779754216449
BF,3,LRR,0.0254455364000401
BF,3,GAM,0.0324698810374587
BF,3,LDA,0.0299063235968544
BF,3,CTREE,0.025473631186361
BF,3,RF,0.0297036541718316
BF,3,LGBM,0.0377991579968015
BF,3,RE_boosting,0.036673164993597
BF,3,RE_RF,0.0364972374658984
BF,3,RE_bag,0.0358160815670309
BF,3,SRE_RF,0.033647704289087
BF,3,SRE_bag,0.0325783825923294
BF,3,SRE_boosting,0.03368272480388
BF,3,SRE_PLTR,0.0336291412214025
BF,3,PLTR,0.0327833269593276
BF,4,LRR,0.0219940698071582
BF,4,GAM,0.0299878959398523
BF,4,LDA,0.0269453557199143
BF,4,CTREE,0.0228322724851192
BF,4,RF,0.0275510026490528
BF,4,LGBM,0.0373212748853312
BF,4,RE_boosting,0.0330849233042899
BF,4,RE_RF,0.0322608792188359
BF,4,RE_bag,0.0330104710205818
BF,4,SRE_RF,0.0318055162675777
BF,4,SRE_bag,0.0304566905195072
