dataset,nr_fold,algorithm,metric
AC,1,LRR,0.0929453335299468
AC,1,GAM,0.0914026882599988
AC,1,LDA,0.0960373034396338
AC,1,CTREE,0.0928354946225443
AC,1,RF,0.0962729948975503
AC,1,LGBM,0.0939306660776938
AC,1,RE_boosting,0.0965460764234884
AC,1,RE_RF,0.0935500112554519
AC,1,RE_bag,0.0938391096116578
AC,1,SRE_RF,0.0934631102582224
AC,1,SRE_bag,0.0936700528858109
AC,1,SRE_boosting,0.0939451242031135
AC,1,SRE_PLTR,0.0931869878222507
AC,1,PLTR,0.0937622112973118
AC,2,LRR,0.110941217683678
AC,2,GAM,0.105370753344361
AC,2,LDA,0.111429409297776
AC,2,CTREE,0.10901765909846001
AC,2,RF,0.111808467677876
AC,2,LGBM,0.110368237734098
AC,2,RE_boosting,0.109799468430954
AC,2,RE_RF,0.109642297891042
AC,2,RE_bag,0.110510763732516
AC,2,SRE_RF,0.110400408100574
AC,2,SRE_bag,0.110443560278703
AC,2,SRE_boosting,0.112757652116959
AC,2,SRE_PLTR,0.110195316366473
AC,2,PLTR,0.11020386788708
AC,3,LRR,0.100706001251124
AC,3,GAM,0.0938376256315217
AC,3,LDA,0.102075867676996
AC,3,CTREE,0.0969970515136677
AC,3,RF,0.102479120954844
AC,3,LGBM,0.0996707911045594
AC,3,RE_boosting,0.102003394530884
AC,3,RE_RF,0.098366528205658
AC,3,RE_bag,0.102417246319034
AC,3,SRE_RF,0.0996141016098365
AC,3,SRE_bag,0.100907136488741
AC,3,SRE_boosting,0.101520794274278
AC,3,SRE_PLTR,0.0996458517544072
AC,3,PLTR,0.0992847296554753
AC,4,LRR,0.101091103832387
AC,4,GAM,0.0941441284080773
AC,4,LDA,0.103631966341955
AC,4,CTREE,0.102518530810121
AC,4,RF,0.102395283915157
AC,4,LGBM,0.102643619116281
AC,4,RE_boosting,0.102532994335816
AC,4,RE_RF,0.10384620640758
AC,4,RE_bag,0.102236736744818
AC,4,SRE_RF,0.103794463428489
AC,4,SRE_bag,0.103006508124454
AC,4,SRE_boosting,0.1015139893749
AC,4,SRE_PLTR,0.102373884542205
AC,4,PLTR,0.102452115851691
AC,5,LRR,0.0893778361093762
AC,5,GAM,0.087521240961095
AC,5,LDA,0.0913548001677361
AC,5,CTREE,0.0899932611956522
AC,5,RF,0.0918874085146528
AC,5,LGBM,0.0878559936086251
AC,5,RE_boosting,0.0921565673236945
AC,5,RE_RF,0.0896420831732534
AC,5,RE_bag,0.0915482414376812
AC,5,SRE_RF,0.0915128542510367
AC,5,SRE_bag,0.0919610186941445
AC,5,SRE_boosting,0.0921609968806656
AC,5,SRE_PLTR,0.0910180148809495
AC,5,PLTR,0.0910180148809495
AC,6,LRR,0.11257071702734
AC,6,GAM,0.104903946132002
AC,6,LDA,0.113131731022007
AC,6,CTREE,0.111539868397616
