dataset,nr_fold,algorithm,metric.x
AC,1,LRR,0.19047619047619
AC,1,GAM,0.630021141649049
AC,1,LDA,0.205959684487292
AC,1,CTREE,0.314634146341463
AC,1,RF,0.602601156069364
AC,1,LGBM,0.489825581395349
AC,1,RE_boosting,0.564459930313589
AC,1,RE_RF,0.473829201101928
AC,1,RE_bag,0.378048780487805
AC,1,SRE_RF,0.581437670609645
AC,1,SRE_bag,0.264646464646465
AC,1,SRE_boosting,0.432638888888889
AC,1,SRE_PLTR,0.104878048780488
AC,1,PLTR,0.323780487804878
AC,2,LRR,0.096424702058505
AC,2,GAM,0.428418803418803
AC,2,LDA,0.340053050397878
AC,2,CTREE,0.616941015089163
AC,2,RF,0.437086092715232
AC,2,LGBM,0.407888290053895
AC,2,RE_boosting,0.442763157894737
AC,2,RE_RF,-0.0554480980012895
AC,2,RE_bag,0.236621534493875
AC,2,SRE_RF,0.27240426371891
AC,2,SRE_bag,0.467058823529412
AC,2,SRE_boosting,0.290598290598291
AC,2,SRE_PLTR,0.436241610738255
AC,2,PLTR,0.356578947368421
AC,3,LRR,0.617985360752876
AC,3,GAM,0.0590123456790124
AC,3,LDA,0.494802494802495
AC,3,CTREE,0.283943329397875
AC,3,RF,0.65134398130113
AC,3,LGBM,0.610062893081761
AC,3,RE_boosting,0.470562770562771
AC,3,RE_RF,0.332054309327037
AC,3,RE_bag,0.642857142857143
AC,3,SRE_RF,0.508137432188065
AC,3,SRE_bag,0.574761904761905
AC,3,SRE_boosting,0.470705064548163
AC,3,SRE_PLTR,-0.00842992623814542
AC,3,PLTR,0.56698930208864
AC,4,LRR,0.324166666666667
AC,4,GAM,0.239617940199335
AC,4,LDA,0.158931082981716
AC,4,CTREE,0.3
AC,4,RF,0.424319727891157
AC,4,LGBM,0.459561128526646
AC,4,RE_boosting,0.496797549429128
AC,4,RE_RF,0.444274028629857
AC,4,RE_bag,0.278977272727273
AC,4,SRE_RF,0.516359918200409
AC,4,SRE_bag,0.533132530120482
AC,4,SRE_boosting,0.606696428571429
AC,4,SRE_PLTR,0.600701293008985
AC,4,PLTR,0.439239168721381
AC,5,LRR,0.420957542908762
AC,5,GAM,0.194444444444444
AC,5,LDA,-0.0527777777777778
AC,5,CTREE,0.407407407407407
AC,5,RF,0.236196319018405
AC,5,LGBM,0.426900584795322
AC,5,RE_boosting,0.490154711673699
AC,5,RE_RF,0.308979364194088
AC,5,RE_bag,0.395325203252032
AC,5,SRE_RF,0.220125786163522
AC,5,SRE_bag,0.473752151462995
AC,5,SRE_boosting,0.353260869565217
AC,5,SRE_PLTR,0.330061349693252
AC,5,PLTR,0.199792960662526
AC,6,LRR,0.131313131313131
AC,6,GAM,0.170383076043453
AC,6,LDA,0.344074471894021
AC,6,CTREE,0.614616755793226
AC,6,RF,0.451972555746141
AC,6,LGBM,0.593418259023355
AC,6,RE_boosting,0.336329233680227
AC,6,RE_RF,0.583850931677019
AC,6,RE_bag,0.0985915492957747
AC,6,SRE_RF,0.633870967741935
AC,6,SRE_bag,0.35374149659864
AC,6,SRE_boosting,0.444950331125828
AC,6,SRE_PLTR,0.377551020408163
AC,6,PLTR,0.499677419354839
BF,1,LRR,0.524885031356242
BF,1,GAM,0.459007694577693
BF,1,LDA,0.482584010987121
BF,1,CTREE,0.28465557220224
BF,1,RF,0.373969983407591
BF,1,LGBM,0.506168131670338
BF,1,RE_boosting,0.478630850093875
BF,1,RE_RF,0.466834098242335
BF,1,RE_bag,0.468917293487836
BF,1,SRE_RF,0.464787470288853
BF,1,SRE_bag,0.452771739067213
BF,1,SRE_boosting,0.485242755460659
BF,1,SRE_PLTR,0.479254748379742
BF,1,PLTR,0.476834391768449
BF,2,LRR,0.526843101842963
BF,2,GAM,0.469730496751291
BF,2,LDA,0.483836579784562
BF,2,CTREE,0.288027070258454
BF,2,RF,0.381022393385125
BF,2,LGBM,0.458855355660475
BF,2,RE_boosting,0.468095608747706
BF,2,RE_RF,0.472861490702615
BF,2,RE_bag,0.477962035174013
BF,2,SRE_RF,0.470592497523247
BF,2,SRE_bag,0.461866653538987
BF,2,SRE_boosting,0.464901291527191
BF,2,SRE_PLTR,0.487862752845883
BF,2,PLTR,0.472814055293663
BF,3,LRR,0.544538521734432
BF,3,GAM,0.464792570399235
BF,3,LDA,0.502639569854299
BF,3,CTREE,0.314332153792509
BF,3,RF,0.379063243566798
BF,3,LGBM,0.502654746168949
BF,3,RE_boosting,0.482659637420434
BF,3,RE_RF,0.499038146152372
BF,3,RE_bag,0.486391444661676
BF,3,SRE_RF,0.471300136234977
BF,3,SRE_bag,0.457763093552806
BF,3,SRE_boosting,0.464157568689055
BF,3,SRE_PLTR,0.472944701902161
BF,3,PLTR,0.476317763483241
BF,4,LRR,0.501898184494895
BF,4,GAM,0.458569566933863
BF,4,LDA,0.452154137053713
BF,4,CTREE,0.296122020684461
BF,4,RF,0.365893738648535
BF,4,LGBM,0.474426549510182
BF,4,RE_boosting,0.468059650054926
BF,4,RE_RF,0.463587634559438
BF,4,RE_bag,0.460038646406907
BF,4,SRE_RF,0.468602434572255
BF,4,SRE_bag,0.453218954011841
BF,4,SRE_boosting,0.468281442176858
BF,4,SRE_PLTR,0.486645807624036
BF,4,PLTR,0.477011206150064
BF,5,LRR,0.534688246724722
BF,5,GAM,0.443865134958029
BF,5,LDA,0.466785003228584
BF,5,CTREE,0.328140149741523
BF,5,RF,0.366525249437442
BF,5,LGBM,0.509298557749602
BF,5,RE_boosting,0.446833766500742
BF,5,RE_RF,0.445932660772961
BF,5,RE_bag,0.456733600501963
BF,5,SRE_RF,0.462075770019176
BF,5,SRE_bag,0.459128880941606
BF,5,SRE_boosting,0.461975291237247
BF,5,SRE_PLTR,0.47092722905952
BF,5,PLTR,0.466985320070966
BF,6,LRR,0.513045083821892
BF,6,GAM,0.473125898857083
BF,6,LDA,0.489510546104929
BF,6,CTREE,0.359404947746093
BF,6,RF,0.355908508026686
BF,6,LGBM,0.484076185177433
BF,6,RE_boosting,0.432972740208101
BF,6,RE_RF,0.497475517196633
BF,6,RE_bag,0.386030458730501
BF,6,SRE_RF,0.474911076875353
BF,6,SRE_bag,0.449905452833979
BF,6,SRE_boosting,0.478948401642193
BF,6,SRE_PLTR,0.474746982532896
BF,6,PLTR,0.469565962060956
GC,1,LRR,0.450350877192983
GC,1,GAM,0.43170701883101
GC,1,LDA,0.423468729851709
GC,1,CTREE,0.282020872865275
GC,1,RF,0.419267399267399
GC,1,LGBM,0.491875746714456
GC,1,RE_boosting,0.305094699750404
GC,1,RE_RF,0.331593006313744
GC,1,RE_bag,0.355527399429838
GC,1,SRE_RF,0.301514813989753
GC,1,SRE_bag,0.438830347734457
GC,1,SRE_boosting,0.459638054125851
GC,1,SRE_PLTR,0.352604166666667
GC,1,PLTR,0.358969907407407
GC,2,LRR,0.433490719635298
GC,2,GAM,0.2686031125953
GC,2,LDA,0.321193335916311
GC,2,CTREE,0.379094974239331
GC,2,RF,0.407830204633858
GC,2,LGBM,0.438328438764981
GC,2,RE_boosting,0.377031802120141
GC,2,RE_RF,0.416552959235886
GC,2,RE_bag,0.480950378469302
GC,2,SRE_RF,0.403799374493224
GC,2,SRE_bag,0.498608276118018
GC,2,SRE_boosting,0.451507092198582
GC,2,SRE_PLTR,0.487827715355805
GC,2,PLTR,0.409348739495798
GC,3,LRR,0.346253859905737
GC,3,GAM,0.356709956709957
GC,3,LDA,0.305516431924883
GC,3,CTREE,0.275855855855856
GC,3,RF,0.411852904040404
GC,3,LGBM,0.440188922284242
GC,3,RE_boosting,0.319864307798007
GC,3,RE_RF,0.397307546454304
GC,3,RE_bag,0.405593803786575
GC,3,SRE_RF,0.510612311366844
GC,3,SRE_bag,0.387959866220736
GC,3,SRE_boosting,0.462591362126246
GC,3,SRE_PLTR,0.367245258759241
GC,3,PLTR,0.362905369484317
GC,4,LRR,0.462893605215703
GC,4,GAM,0.365131578947368
GC,4,LDA,0.366846268485613
GC,4,CTREE,0.315699658703072
GC,4,RF,0.404587245696401
GC,4,LGBM,0.327275480842041
GC,4,RE_boosting,0.400124069478908
GC,4,RE_RF,0.408912271805274
GC,4,RE_bag,0.370336943441637
GC,4,SRE_RF,0.347316606548556
GC,4,SRE_bag,0.411861562331782
GC,4,SRE_boosting,0.431482133427213
GC,4,SRE_PLTR,0.377070828331333
GC,4,PLTR,0.363658103987724
GC,5,LRR,0.48523000448193
GC,5,GAM,0.374400097199441
GC,5,LDA,0.329432624113475
GC,5,CTREE,0.0804232804232805
GC,5,RF,0.389108293494076
GC,5,LGBM,0.365173473869126
GC,5,RE_boosting,0.284019301731479
GC,5,RE_RF,0.413635361552028
GC,5,RE_bag,0.384679089026915
GC,5,SRE_RF,0.401718213058419
GC,5,SRE_bag,0.457962413452028
GC,5,SRE_boosting,0.430086234429895
GC,5,SRE_PLTR,0.408944281524927
GC,5,PLTR,0.408944281524927
GC,6,LRR,0.505299083887192
GC,6,GAM,0.414560770156438
GC,6,LDA,0.442097902097902
GC,6,CTREE,0.270757020757021
GC,6,RF,0.467410895982324
GC,6,LGBM,0.300109649122807
GC,6,RE_boosting,0.287304978312941
GC,6,RE_RF,0.336526181353768
GC,6,RE_bag,0.329861111111111
GC,6,SRE_RF,0.453576604996163
GC,6,SRE_bag,0.305858585858586
GC,6,SRE_boosting,0.351126927639383
GC,6,SRE_PLTR,0.394662921348315
GC,6,PLTR,0.379019530479384
GMSC,1,LRR,0.719111784891861
GMSC,1,GAM,0.600775622349023
GMSC,1,LDA,0.399011442240202
GMSC,1,CTREE,0.51490333483517
GMSC,1,RF,0.638830811269588
GMSC,1,LGBM,0.656124161350411
GMSC,1,RE_boosting,0.656039358247298
GMSC,1,RE_RF,0.661436841106241
GMSC,1,RE_bag,0.656797131940414
GMSC,1,SRE_RF,0.693316644554408
GMSC,1,SRE_bag,0.688185753846925
GMSC,1,SRE_boosting,0.681350890982456
GMSC,1,SRE_PLTR,0.69708130981346
GMSC,1,PLTR,0.484245218477153
GMSC,2,LRR,0.700798070617287
GMSC,2,GAM,0.555975398691133
GMSC,2,LDA,0.376791409188875
GMSC,2,CTREE,0.50356554979692
GMSC,2,RF,0.638826183075981
GMSC,2,LGBM,0.622579508458534
GMSC,2,RE_boosting,0.632034669623773
GMSC,2,RE_RF,0.65307193411593
GMSC,2,RE_bag,0.631417821167012
GMSC,2,SRE_RF,0.642559582184671
GMSC,2,SRE_bag,0.641994168235479
GMSC,2,SRE_boosting,0.637561719430729
GMSC,2,SRE_PLTR,0.676796463965241
GMSC,2,PLTR,0.413752801297357
GMSC,3,LRR,0.687593791984566
GMSC,3,GAM,0.564632576968589
GMSC,3,LDA,0.398341445040955
GMSC,3,CTREE,0.52194873947926
GMSC,3,RF,0.607301839342096
GMSC,3,LGBM,0.599271493478627
GMSC,3,RE_boosting,0.617167150777431
GMSC,3,RE_RF,0.629170157249139
GMSC,3,RE_bag,0.601686862959348
GMSC,3,SRE_RF,0.672499084366926
GMSC,3,SRE_bag,0.667469470950745
GMSC,3,SRE_boosting,0.680941016953422
GMSC,3,SRE_PLTR,0.671803836745713
GMSC,3,PLTR,0.356289305528432
GMSC,4,LRR,0.723340876397925
GMSC,4,GAM,0.592015896276607
GMSC,4,LDA,0.376211013503241
GMSC,4,CTREE,0.545783255885621
GMSC,4,RF,0.640118917884867
GMSC,4,LGBM,0.651790268840641
GMSC,4,RE_boosting,0.695833074916593
GMSC,4,RE_RF,0.682566360904042
GMSC,4,RE_bag,0.684127968716863
GMSC,4,SRE_RF,0.679217017496671
GMSC,4,SRE_bag,0.703189798507702
GMSC,4,SRE_boosting,0.715533201956949
GMSC,4,SRE_PLTR,0.679611933550628
GMSC,4,PLTR,0.320505553901978
GMSC,5,LRR,0.701929947614679
GMSC,5,GAM,0.577742164873166
GMSC,5,LDA,0.37531514478549
GMSC,5,CTREE,0.531351414092913
GMSC,5,RF,0.621465332816534
GMSC,5,LGBM,0.606585067916884
GMSC,5,RE_boosting,0.654877965399956
GMSC,5,RE_RF,0.639675119089315
GMSC,5,RE_bag,0.635760822046222
GMSC,5,SRE_RF,0.686090383969981
GMSC,5,SRE_bag,0.684129041500886
GMSC,5,SRE_boosting,0.686886506199311
GMSC,5,SRE_PLTR,0.645265235986212
GMSC,5,PLTR,0.394107810870449
GMSC,6,LRR,0.697560229210159
GMSC,6,GAM,0.580796790381138
GMSC,6,LDA,0.406449170886864
GMSC,6,CTREE,0.608281276547742
GMSC,6,RF,0.614137770937543
GMSC,6,LGBM,0.638100257608111
GMSC,6,RE_boosting,0.649030924525687
GMSC,6,RE_RF,0.662637565841603
GMSC,6,RE_bag,0.64972750758632
GMSC,6,SRE_RF,0.685450902759727
GMSC,6,SRE_bag,0.697554088971772
GMSC,6,SRE_boosting,0.69645957383499
GMSC,6,SRE_PLTR,0.693529833195131
GMSC,6,PLTR,0.423109138062802
HMEQ,1,LRR,0.763745276756536
HMEQ,1,GAM,0.622578315218024
HMEQ,1,LDA,0.564526206727461
HMEQ,1,CTREE,0.501120593692022
HMEQ,1,RF,0.790530241018645
HMEQ,1,LGBM,0.654165727263229
HMEQ,1,RE_boosting,0.64315475471607
HMEQ,1,RE_RF,0.600971202710333
HMEQ,1,RE_bag,0.528007680418625
HMEQ,1,SRE_RF,0.674119971264368
HMEQ,1,SRE_bag,0.692580369971264
HMEQ,1,SRE_boosting,0.687271761254789
HMEQ,1,SRE_PLTR,0.645447198275862
HMEQ,1,PLTR,0.321437448954227
HMEQ,2,LRR,0.763188844086022
HMEQ,2,GAM,0.597330201475502
HMEQ,2,LDA,0.547875275169281
HMEQ,2,CTREE,0.423596671210932
HMEQ,2,RF,0.771052579424064
HMEQ,2,LGBM,0.662970662970663
HMEQ,2,RE_boosting,0.602428539062253
HMEQ,2,RE_RF,0.615364624086204
HMEQ,2,RE_bag,0.573495729029129
HMEQ,2,SRE_RF,0.647047808041142
HMEQ,2,SRE_bag,0.655400003847116
HMEQ,2,SRE_boosting,0.646357743281974
HMEQ,2,SRE_PLTR,0.591300902148614
HMEQ,2,PLTR,0.537468726420714
HMEQ,3,LRR,0.787654050818467
HMEQ,3,GAM,0.585300111761226
HMEQ,3,LDA,0.580306585327702
HMEQ,3,CTREE,0.407146121852004
HMEQ,3,RF,0.780043416423385
HMEQ,3,LGBM,0.695751448917379
HMEQ,3,RE_boosting,0.659549745824256
HMEQ,3,RE_RF,0.641512894230095
HMEQ,3,RE_bag,0.620427517687792
HMEQ,3,SRE_RF,0.64617876638947
HMEQ,3,SRE_bag,0.60067579908675806
HMEQ,3,SRE_boosting,0.643337524796154
HMEQ,3,SRE_PLTR,0.573591649144208
HMEQ,3,PLTR,0.568991831922866
HMEQ,4,LRR,0.741216825473729
HMEQ,4,GAM,0.569578673340558
HMEQ,4,LDA,0.535955832361751
HMEQ,4,CTREE,0.390970715108646
HMEQ,4,RF,0.755894554429449
HMEQ,4,LGBM,0.652728302153861
HMEQ,4,RE_boosting,0.533447491789013
HMEQ,4,RE_RF,0.56834456372773
HMEQ,4,RE_bag,0.500753035192869
HMEQ,4,SRE_RF,0.690949913405663
HMEQ,4,SRE_bag,0.703005594677115
HMEQ,4,SRE_boosting,0.493881447267128
HMEQ,4,SRE_PLTR,0.634713855017215
HMEQ,4,PLTR,0
HMEQ,5,LRR,0.762298784629487
HMEQ,5,GAM,0.574798611894113
HMEQ,5,LDA,0.551833726415094
HMEQ,5,CTREE,0.454781812272875
HMEQ,5,RF,0.775331908721883
HMEQ,5,LGBM,0.679162319555362
HMEQ,5,RE_boosting,0.61741384568466
HMEQ,5,RE_RF,0.610974059953652
HMEQ,5,RE_bag,0.509620815362497
HMEQ,5,SRE_RF,0.656939236537988
HMEQ,5,SRE_bag,0.664606896975658
HMEQ,5,SRE_boosting,0.697304524219326
HMEQ,5,SRE_PLTR,0.630292598967298
HMEQ,5,PLTR,0.569359474318152
HMEQ,6,LRR,0.771693989952342
HMEQ,6,GAM,0.629907566422221
HMEQ,6,LDA,0.540563064622423
HMEQ,6,CTREE,0.458256522758077
HMEQ,6,RF,0.818849197420947
HMEQ,6,LGBM,0.68632923006346
HMEQ,6,RE_boosting,0.670754616571763
HMEQ,6,RE_RF,0.595493857493858
HMEQ,6,RE_bag,0.609629100769491
HMEQ,6,SRE_RF,0
HMEQ,6,SRE_bag,0.228291011907998
HMEQ,6,SRE_boosting,0.420612483128443
HMEQ,6,SRE_PLTR,0
HMEQ,6,PLTR,0.325982041680328
LC,1,LRR,0.240808823529412
LC,1,GAM,0.106901079412718
LC,1,LDA,0.141015455727286
LC,1,CTREE,0.0737702296424232
LC,1,RF,0.122129713103887
LC,1,LGBM,0.187609248810709
LC,1,RE_boosting,0.183307493540052
LC,1,RE_RF,0.208079001124098
LC,1,RE_bag,0.141145360943268
LC,1,SRE_RF,0.126007326007326
LC,1,SRE_bag,0.00514285714285712
LC,1,SRE_boosting,0.0252941176470589
