"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"RF",0.938354263512107
"2","AC",1,"RE",0.930791646430306
"3","AC",1,"SRE",0.929265246652328
"4","AC",2,"RF",0.925993265993266
"5","AC",2,"RE",0.918855218855219
"6","AC",2,"SRE",0.92016835016835
"7","AC",3,"RF",0.922308998302207
"8","AC",3,"RE",0.897385398981324
"9","AC",3,"SRE",0.896400679117148
"10","AC",4,"RF",0.936426233978729
"11","AC",4,"RE",0.94375511317153
"12","AC",4,"SRE",0.935164985001363
"13","AC",5,"RF",0.917952996801558
"14","AC",5,"RE",0.911712557363371
"15","AC",5,"SRE",0.913363927131136
"16","AC",6,"RF",0.9304200040385
"17","AC",6,"RE",0.92547284108501
"18","AC",6,"SRE",0.919583361378475
"19","AC",7,"RF",0.918138609856401
"20","AC",7,"RE",0.912441852625902
"21","AC",7,"SRE",0.916790264949774
"22","AC",8,"RF",0.944478993919292
"23","AC",8,"RE",0.927739773355445
"24","AC",8,"SRE",0.91832504145937
"25","AC",9,"RF",0.940736478711162
"26","AC",9,"RE",0.941531848642794
"27","AC",9,"SRE",0.935050429838218
"28","AC",10,"RF",0.925797835912889
"29","AC",10,"RE",0.917836597726339
"30","AC",10,"SRE",0.921363511847692
