"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"RF",0.096137608720463
"2","AC",1,"RE",0.0994971971593878
"3","AC",1,"SRE",0.100449916274755
"4","AC",2,"RF",0.103003626489533
"5","AC",2,"RE",0.107275864125923
"6","AC",2,"SRE",0.107685511200523
"7","AC",3,"RF",0.107449079895001
"8","AC",3,"RE",0.120478474168634
"9","AC",3,"SRE",0.121721553260063
"10","AC",4,"RF",0.0964610188931884
"11","AC",4,"RE",0.0907967819316892
"12","AC",4,"SRE",0.0941979687566726
"13","AC",5,"RF",0.107622879146538
"14","AC",5,"RE",0.110906047747
"15","AC",5,"SRE",0.112208998696409
"16","AC",6,"RF",0.0977532996109194
"17","AC",6,"RE",0.0992969162166858
"18","AC",6,"SRE",0.0977166298517983
"19","AC",7,"RF",0.105153343055966
"20","AC",7,"RE",0.108401631467922
"21","AC",7,"SRE",0.105160088743176
"22","AC",8,"RF",0.0982610078158862
"23","AC",8,"RE",0.102246060388861
"24","AC",8,"SRE",0.102425777235191
"25","AC",9,"RF",0.0941255821792807
"26","AC",9,"RE",0.0957371516274672
"27","AC",9,"SRE",0.0959207891478469
"28","AC",10,"RF",0.105599692670406
"29","AC",10,"RE",0.110756728072619
"30","AC",10,"SRE",0.121235028107182
