"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"RF",0.515455304928989
"2","AC",1,"RE",0.443741209563994
"3","AC",1,"SRE",0.626839826839827
"4","AC",2,"RF",0.437442922374429
"5","AC",2,"RE",0.0216297786720323
"6","AC",2,"SRE",0.0319248826291081
"7","AC",3,"RF",0.447274579724911
"8","AC",3,"RE",0.3625
"9","AC",3,"SRE",0.437086092715232
"10","AC",4,"RF",0.364848484848485
"11","AC",4,"RE",0.262859839546956
"12","AC",4,"SRE",0.474691358024691
"13","AC",5,"RF",0.224242424242424
"14","AC",5,"RE",-0.013277428371768
"15","AC",5,"SRE",0.18775720164609
"16","AC",6,"RF",0.473544973544973
"17","AC",6,"RE",0.349116161616162
"18","AC",6,"SRE",0.44367816091954
"19","AC",7,"RF",0.435249042145594
"20","AC",7,"RE",0.151211801896733
"21","AC",7,"SRE",0.285818713450292
"22","AC",8,"RF",0.525562372188139
"23","AC",8,"RE",0.325625
"24","AC",8,"SRE",-0.2625
"25","AC",9,"RF",0.316455696202532
"26","AC",9,"RE",-0.0067567567567568
"27","AC",9,"SRE",0.348523206751055
"28","AC",10,"RF",0.368477676169984
"29","AC",10,"RE",0.335390946502058
"30","AC",10,"SRE",0.342647058823529
