"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"RF",0.760174842156387
"2","GC",1,"RE",0.758640116561438
"3","GC",1,"SRE",0.737348227294803
"4","GC",2,"RF",0.747311827956989
"5","GC",2,"RE",0.720691912108462
"6","GC",2,"SRE",0.730649836372137
"7","GC",3,"RF",0.735447699664706
"8","GC",3,"RE",0.716127081844666
"9","GC",3,"SRE",0.72641492148995
"10","GC",4,"RF",0.712070786584029
"11","GC",4,"RE",0.716176089599235
"12","GC",4,"SRE",0.716514876741266
"13","GC",5,"RF",0.724317528735632
"14","GC",5,"RE",0.734261569872958
"15","GC",5,"SRE",0.740736539624924
"16","GC",6,"RF",0.802806357493858
"17","GC",6,"RE",0.743732724201474
"18","GC",6,"SRE",0.708221360565111
"19","GC",7,"RF",0.776772366039814
"20","GC",7,"RE",0.759442127626092
"21","GC",7,"SRE",0.74500354079786
"22","GC",8,"RF",0.761251758087201
"23","GC",8,"RE",0.753812273299282
"24","GC",8,"SRE",0.742801095565919
"25","GC",9,"RF",0.738836939080396
"26","GC",9,"RE",0.733174717350006
"27","GC",9,"SRE",0.737444438296538
"28","GC",10,"RF",0.742083012307632
"29","GC",10,"RE",0.759902408186649
"30","GC",10,"SRE",0.759448033347162
