"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"RF",0.20538732875792
"2","GC",1,"RE",0.207034494212639
"3","GC",1,"SRE",0.206065029386345
"4","GC",2,"RF",0.199187533364705
"5","GC",2,"RE",0.211769188256508
"6","GC",2,"SRE",0.200132708740448
"7","GC",3,"RF",0.203658991380503
"8","GC",3,"RE",0.210208187853879
"9","GC",3,"SRE",0.209048925285557
"10","GC",4,"RF",0.216393845639618
"11","GC",4,"RE",0.226609281718981
"12","GC",4,"SRE",0.232289662465703
"13","GC",5,"RF",0.209693503176128
"14","GC",5,"RE",0.215376742325986
"15","GC",5,"SRE",0.210419416580961
"16","GC",6,"RF",0.193806127513603
"17","GC",6,"RE",0.202994415410313
"18","GC",6,"SRE",0.204259455268902
"19","GC",7,"RF",0.206109518830525
"20","GC",7,"RE",0.209469753425039
"21","GC",7,"SRE",0.204327400671392
"22","GC",8,"RF",0.204221959824005
"23","GC",8,"RE",0.204951038216516
"24","GC",8,"SRE",0.209301354059199
"25","GC",9,"RF",0.208651184359464
"26","GC",9,"RE",0.213019926120169
"27","GC",9,"SRE",0.214097201627526
"28","GC",10,"RF",0.211109859422903
"29","GC",10,"RE",0.200496394555904
"30","GC",10,"SRE",0.207506806806696
