"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"RF",0.346788990825688
"2","GC",1,"RE",0.358181818181818
"3","GC",1,"SRE",0.233078448031719
"4","GC",2,"RF",0.419098143236074
"5","GC",2,"RE",0.450170519136036
"6","GC",2,"SRE",0.517579105976896
"7","GC",3,"RF",0.282445759368836
"8","GC",3,"RE",0.310430463576159
"9","GC",3,"SRE",0.12300785634119
"10","GC",4,"RF",0.372873345935728
"11","GC",4,"RE",0.260153256704981
"12","GC",4,"SRE",0.321295293126279
"13","GC",5,"RF",0.218001168907072
"14","GC",5,"RE",0.511635220125786
"15","GC",5,"SRE",0.366387337057728
"16","GC",6,"RF",0.706818181818182
"17","GC",6,"RE",0.308965773809524
"18","GC",6,"SRE",0.261587301587302
"19","GC",7,"RF",0.308365508365508
"20","GC",7,"RE",0.494708994708995
"21","GC",7,"SRE",0.406031746031746
"22","GC",8,"RF",0.299435028248588
"23","GC",8,"RE",0.33578231292517
"24","GC",8,"SRE",0.16679188580015
"25","GC",9,"RF",0.282467532467532
"26","GC",9,"RE",0.33584229390681
"27","GC",9,"SRE",0.457134109001837
"28","GC",10,"RF",0.0221674876847291
"29","GC",10,"RE",0.3640625
"30","GC",10,"SRE",0.230414746543779
