"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"RF",0.86285105560687
"2","GMSC",1,"RE",0.857118650932336
"3","GMSC",1,"SRE",0.857018592244809
"4","GMSC",2,"RF",0.857061999220714
"5","GMSC",2,"RE",0.851497614992668
"6","GMSC",2,"SRE",0.852911995750423
"7","GMSC",3,"RF",0.855629463108891
"8","GMSC",3,"RE",0.854994263385656
"9","GMSC",3,"SRE",0.847757935615617
"10","GMSC",4,"RF",0.866220091840305
"11","GMSC",4,"RE",0.865481686027568
"12","GMSC",4,"SRE",0.862026542917781
"13","GMSC",5,"RF",0.858233198500735
"14","GMSC",5,"RE",0.858889457481153
"15","GMSC",5,"SRE",0.85406012992578
"17","GMSC",6,"RF",0.861357016679781
"18","GMSC",6,"RE",0.861492207790466
"19","GMSC",6,"SRE",0.857403761820576
"20","GMSC",7,"RF",0.872207548322353
"21","GMSC",7,"RE",0.864802338670972
"22","GMSC",7,"SRE",0.865940328984685
"23","GMSC",8,"RF",0.847087145410775
"24","GMSC",8,"RE",0.846417373718604
"25","GMSC",8,"SRE",0.846960014294119
"26","GMSC",9,"RF",0.857109196710263
"27","GMSC",9,"RE",0.854808574837205
"28","GMSC",9,"SRE",0.855277382229531
"29","GMSC",10,"RF",0.858193763138572
"30","GMSC",10,"RE",0.853855441722384
"31","GMSC",10,"SRE",0.856299227741905
