"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"RF",0.151074265275344
"2","GMSC",1,"RE",0.159747453772731
"3","GMSC",1,"SRE",0.170253901798583
"4","GMSC",2,"RF",0.150734680204249
"5","GMSC",2,"RE",0.153703243384812
"6","GMSC",2,"SRE",0.131133169991516
"7","GMSC",3,"RF",0.147164167172497
"8","GMSC",3,"RE",0.151768139894554
"9","GMSC",3,"SRE",0.160042182374641
"10","GMSC",4,"RF",0.145648758003963
"11","GMSC",4,"RE",0.14965267995887
"12","GMSC",4,"SRE",0.148096826336988
"13","GMSC",5,"RF",0.149045678058014
"14","GMSC",5,"RE",0.152408374369379
"15","GMSC",5,"SRE",0.164504271517988
"17","GMSC",6,"RF",0.14711232353635
"18","GMSC",6,"RE",0.149566194708169
"19","GMSC",6,"SRE",0.159102264898475
"20","GMSC",7,"RF",0.144558067210117
"21","GMSC",7,"RE",0.155030444614526
"22","GMSC",7,"SRE",0.162566928513619
"23","GMSC",8,"RF",0.144470051396629
"24","GMSC",8,"RE",0.147359471380772
"25","GMSC",8,"SRE",0.111777856235625
"26","GMSC",9,"RF",0.146432345416275
"27","GMSC",9,"RE",0.14874662731787
"28","GMSC",9,"SRE",0.164983323831047
"29","GMSC",10,"RF",0.149375021671557
"30","GMSC",10,"RE",0.154939677846742
"31","GMSC",10,"SRE",0.161583124680989
