"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"RF",0.346662468513854
"2","GMSC",1,"RE",0.359498756771888
"3","GMSC",1,"SRE",0.375757229819796
"4","GMSC",2,"RF",0.36377650056418
"5","GMSC",2,"RE",0.381711724190035
"6","GMSC",2,"SRE",0.373900479645111
"7","GMSC",3,"RF",0.332187243623272
"8","GMSC",3,"RE",0.366070749334348
"9","GMSC",3,"SRE",0.385497165780821
"10","GMSC",4,"RF",0.389666941664893
"11","GMSC",4,"RE",0.396971829715049
"12","GMSC",4,"SRE",0.374929301453025
"13","GMSC",5,"RF",0.311267315802134
"14","GMSC",5,"RE",0.3625202425338
"15","GMSC",5,"SRE",0.377453780150035
"17","GMSC",6,"RF",0.344601839058079
"18","GMSC",6,"RE",0.389547662212673
"19","GMSC",6,"SRE",0.345453233635052
"20","GMSC",7,"RF",0.377655011165076
"21","GMSC",7,"RE",0.391421591161058
"22","GMSC",7,"SRE",0.361988387474949
"23","GMSC",8,"RF",0.3856441811386
"24","GMSC",8,"RE",0.374719668709477
"25","GMSC",8,"SRE",0.41755940471707
"26","GMSC",9,"RF",0.390203745863788
"27","GMSC",9,"RE",0.385865337756785
"28","GMSC",9,"SRE",0.341475504094217
"29","GMSC",10,"RF",0.33780583090379
"30","GMSC",10,"RE",0.319680600646869
"31","GMSC",10,"SRE",0.381581684604688
