"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"RF",0.924368788912835
"2","HMEQ",1,"RE",0.903656684027778
"3","HMEQ",1,"SRE",0.914411967193487
"4","HMEQ",2,"RF",0.92544366860946
"5","HMEQ",2,"RE",0.90749918248793
"6","HMEQ",2,"SRE",0.907222190162925
"7","HMEQ",3,"RF",0.929194038719513
"8","HMEQ",3,"RE",0.91172494200476
"9","HMEQ",3,"SRE",0.911834480233601
"10","HMEQ",4,"RF",0.914488763454351
"11","HMEQ",4,"RE",0.908585615594808
"12","HMEQ",4,"SRE",0.901768181933283
"13","HMEQ",5,"RF",0.927455357142857
"14","HMEQ",5,"RE",0.908388400540939
"15","HMEQ",5,"SRE",0.911788480452422
"16","HMEQ",6,"RF",0.926388904499118
"17","HMEQ",6,"RE",0.910252548525957
"18","HMEQ",6,"SRE",0.912384656019242
"19","HMEQ",7,"RF",0.931111835353507
"20","HMEQ",7,"RE",0.91468270478339
"21","HMEQ",7,"SRE",0.915695873667471
"22","HMEQ",8,"RF",0.921154252890228
"23","HMEQ",8,"RE",0.89461175761915
"24","HMEQ",8,"SRE",0.896338906896116
"25","HMEQ",9,"RF",0.926121996515595
"26","HMEQ",9,"RE",0.905979671280277
"27","HMEQ",9,"SRE",0.90630444382607
"28","HMEQ",10,"RF",0.925159411420381
"29","HMEQ",10,"RE",0.907932625886877
"30","HMEQ",10,"SRE",0.912777195470333
