"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"RF",0.109453644316574
"2","HMEQ",1,"RE",0.123965030470344
"3","HMEQ",1,"SRE",0.0824468202179366
"4","HMEQ",2,"RF",0.101630100901123
"5","HMEQ",2,"RE",0.111206876137913
"6","HMEQ",2,"SRE",0.106568456757733
"7","HMEQ",3,"RF",0.107544386881526
"8","HMEQ",3,"RE",0.117327331182847
"9","HMEQ",3,"SRE",0.105413967556087
"10","HMEQ",4,"RF",0.109300557328135
"11","HMEQ",4,"RE",0.116822327039159
"12","HMEQ",4,"SRE",0.107898448307505
"13","HMEQ",5,"RF",0.10683662955575
"14","HMEQ",5,"RE",0.118018766541172
"15","HMEQ",5,"SRE",0.0962991740002958
"16","HMEQ",6,"RF",0.104627155353188
"17","HMEQ",6,"RE",0.110367211636458
"18","HMEQ",6,"SRE",0.0941608488411172
"19","HMEQ",7,"RF",0.10131549254921
"20","HMEQ",7,"RE",0.115691359296683
"21","HMEQ",7,"SRE",0.101566874271414
"22","HMEQ",8,"RF",0.112253976859905
"23","HMEQ",8,"RE",0.123832246786708
"24","HMEQ",8,"SRE",0.103321798775859
"25","HMEQ",9,"RF",0.103941775586252
"26","HMEQ",9,"RE",0.116791406319985
"27","HMEQ",9,"SRE",0.110603567498942
"28","HMEQ",10,"RF",0.105780272444148
"29","HMEQ",10,"RE",0.111593284949241
"30","HMEQ",10,"SRE",0.0913485757453097
