"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"RF",0.446616466364135
"2","HMEQ",1,"RE",0.313134983723219
"3","HMEQ",1,"SRE",0.790836182609864
"4","HMEQ",2,"RF",0.567636238932535
"5","HMEQ",2,"RE",0.510744177866062
"6","HMEQ",2,"SRE",0.466601452642391
"7","HMEQ",3,"RF",0.564562108029052
"8","HMEQ",3,"RE",0.403313119565819
"9","HMEQ",3,"SRE",0.399584631360332
"10","HMEQ",4,"RF",0.50958904109589
"11","HMEQ",4,"RE",0.404624394184168
"12","HMEQ",4,"SRE",0.430288065843621
"13","HMEQ",5,"RF",0.538771581543644
"14","HMEQ",5,"RE",0.445326643959618
"15","HMEQ",5,"SRE",0.553241913603452
"16","HMEQ",6,"RF",0.507156359708345
"17","HMEQ",6,"RE",0.417169554214522
"18","HMEQ",6,"SRE",0.424142631890152
"19","HMEQ",7,"RF",0.615339451809277
"20","HMEQ",7,"RE",0.419760106138142
"21","HMEQ",7,"SRE",0.421927509037518
"22","HMEQ",8,"RF",0.504231665770127
"23","HMEQ",8,"RE",0.353021021021021
"24","HMEQ",8,"SRE",0.586344667978716
"25","HMEQ",9,"RF",0.515076850874105
"26","HMEQ",9,"RE",0.411912681331582
"27","HMEQ",9,"SRE",0.52083112055231
"28","HMEQ",10,"RF",0.548910650951467
"29","HMEQ",10,"RE",0.381763451649316
"30","HMEQ",10,"SRE",0.611946672608437
