"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"RF",0.721834010980176
"2","LC",1,"RE",0.726976087106333
"3","LC",1,"SRE",0.729315691544346
"4","LC",2,"RF",0.693084361147477
"5","LC",2,"RE",0.690618755598429
"6","LC",2,"SRE",0.704423620202577
"7","LC",3,"RF",0.723619167717528
"8","LC",3,"RE",0.731405479766135
"9","LC",3,"SRE",0.732547288776797
"10","LC",4,"RF",0.695151423435322
"11","LC",4,"RE",0.686348961772691
"12","LC",4,"SRE",0.695786558074694
"13","LC",5,"RF",0.70375388593909
"14","LC",5,"RE",0.708395233248049
"15","LC",5,"SRE",0.710439076728383
"16","LC",6,"RF",0.707664303857828
"17","LC",6,"RE",0.71384031324793
"18","LC",6,"SRE",0.713466634877259
"19","LC",7,"RF",0.720392293514044
"20","LC",7,"RE",0.701069912242895
"21","LC",7,"SRE",0.715493209599178
"22","LC",8,"RF",0.698799600172403
"23","LC",8,"RE",0.696145927902648
"24","LC",8,"SRE",0.699959650425963
"25","LC",9,"RF",0.723031146253771
"26","LC",9,"RE",0.720703098094858
"27","LC",9,"SRE",0.732471909596426
"28","LC",10,"RF",0.703664975551525
"29","LC",10,"RE",0.709324854801313
"30","LC",10,"SRE",0.718704804756548
