"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"RF",0.215167144753809
"2","LC",1,"RE",0.215023901470124
"3","LC",1,"SRE",0.21497816478539
"4","LC",2,"RF",0.220767238292539
"5","LC",2,"RE",0.221595202030551
"6","LC",2,"SRE",0.219154196817177
"7","LC",3,"RF",0.213604190725151
"8","LC",3,"RE",0.213601239068632
"9","LC",3,"SRE",0.214446372925737
"10","LC",4,"RF",0.222338518955605
"11","LC",4,"RE",0.22130093185633
"12","LC",4,"SRE",0.222133160263709
"13","LC",5,"RF",0.221449707228767
"14","LC",5,"RE",0.219615342328747
"15","LC",5,"SRE",0.21732630626611
"16","LC",6,"RF",0.219159061706322
"17","LC",6,"RE",0.215785303343141
"18","LC",6,"SRE",0.218027706868327
"19","LC",7,"RF",0.217481883184361
"20","LC",7,"RE",0.215319275306177
"21","LC",7,"SRE",0.213657176230777
"22","LC",8,"RF",0.220272877000636
"23","LC",8,"RE",0.217650508477051
"24","LC",8,"SRE",0.216402657318841
"25","LC",9,"RF",0.214002676785749
"26","LC",9,"RE",0.212419040767603
"27","LC",9,"SRE",0.210259767520164
"28","LC",10,"RF",0.216311866728146
"29","LC",10,"RE",0.216350817113458
"30","LC",10,"SRE",0.220816327966138
