"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"RF",0.0871127633209419
"2","LC",1,"RE",0.167769496877249
"3","LC",1,"SRE",0.232057416267943
"4","LC",2,"RF",0.0990344827586207
"5","LC",2,"RE",0.0872115054947038
"6","LC",2,"SRE",0.0975308641975308
"7","LC",3,"RF",0.218389182833627
"8","LC",3,"RE",0.242561584623778
"9","LC",3,"SRE",0.0957532051282051
"10","LC",4,"RF",0.0199674131816874
"11","LC",4,"RE",0.161934968154509
"12","LC",4,"SRE",0.116666666666666
"13","LC",5,"RF",0.145110868774991
"14","LC",5,"RE",0.0155168150346192
"15","LC",5,"SRE",0
"16","LC",6,"RF",0.0583521526917754
"17","LC",6,"RE",0.128564269606615
"18","LC",6,"SRE",0.194511702986279
"19","LC",7,"RF",0.0978727155197743
"20","LC",7,"RE",0.0956797178591255
"21","LC",7,"SRE",0
"22","LC",8,"RF",0.0950342465753424
"23","LC",8,"RE",0.133228840125392
"24","LC",8,"SRE",0.12
"25","LC",9,"RF",0.153365098272781
"26","LC",9,"RE",0.129354532510679
"27","LC",9,"SRE",0.0220588235294117
"28","LC",10,"RF",0.147155954258675
"29","LC",10,"RE",0.0305803571428571
"30","LC",10,"SRE",0.130086867791786
