"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"RF",0.759340518518043
"2","TC",1,"RE",0.750676390675735
"3","TC",1,"SRE",0.752763561971187
"4","TC",2,"RF",0.767974624929686
"5","TC",2,"RE",0.774400040153063
"6","TC",2,"SRE",0.776803672802499
"7","TC",3,"RF",0.744430289545454
"8","TC",3,"RE",0.755552710506835
"9","TC",3,"SRE",0.753951667155562
"10","TC",4,"RF",0.764683301387001
"11","TC",4,"RE",0.770572913779297
"12","TC",4,"SRE",0.772511189890191
"13","TC",5,"RF",0.756162706699642
"14","TC",5,"RE",0.760745652347838
"15","TC",5,"SRE",0.765376648016572
"16","TC",6,"RF",0.760900352208517
"17","TC",6,"RE",0.751692085757055
"18","TC",6,"SRE",0.75437907132376
"19","TC",7,"RF",0.7527618362099
"20","TC",7,"RE",0.758223369624976
"21","TC",7,"SRE",0.759180980197754
"22","TC",8,"RF",0.768542798276831
"23","TC",8,"RE",0.77435016196027
"24","TC",8,"SRE",0.775896657595422
"25","TC",9,"RF",0.765649685007119
"26","TC",9,"RE",0.763072576068714
"27","TC",9,"SRE",0.761537664938223
"28","TC",10,"RF",0.756175295347163
"29","TC",10,"RE",0.759041866579454
"30","TC",10,"SRE",0.765842022611918
