"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"RF",0.192372037871148
"2","TC",1,"RE",0.187630943765493
"3","TC",1,"SRE",0.19071500205031
"4","TC",2,"RF",0.191895217210679
"5","TC",2,"RE",0.186789197485844
"6","TC",2,"SRE",0.189539641898992
"7","TC",3,"RF",0.196809076525161
"8","TC",3,"RE",0.191033728528966
"9","TC",3,"SRE",0.192739591390511
"10","TC",4,"RF",0.196404570419313
"11","TC",4,"RE",0.188615035739976
"12","TC",4,"SRE",0.190023067946722
"13","TC",5,"RF",0.196394288911193
"14","TC",5,"RE",0.187086716148723
"15","TC",5,"SRE",0.19166800195187
"16","TC",6,"RF",0.193378604499168
"17","TC",6,"RE",0.189897833920334
"18","TC",6,"SRE",0.190758167167884
"19","TC",7,"RF",0.191681171877056
"20","TC",7,"RE",0.185874475675361
"21","TC",7,"SRE",0.189402867902377
"22","TC",8,"RF",0.197567553651547
"23","TC",8,"RE",0.18801740268653
"24","TC",8,"SRE",0.194703944390931
"25","TC",9,"RF",0.192941520628096
"26","TC",9,"RE",0.186622620458871
"27","TC",9,"SRE",0.190809745634873
"28","TC",10,"RF",0.192669578471374
"29","TC",10,"RE",0.184509308636666
"30","TC",10,"SRE",0.186812532323375
