"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"RF",0.168745370463054
"2","TC",1,"RE",0.16564207060503
"3","TC",1,"SRE",0.175392532135438
"4","TC",2,"RF",0.154391026249359
"5","TC",2,"RE",0.209605954465849
"6","TC",2,"SRE",0.192133263893377
"7","TC",3,"RF",0.13313675609004
"8","TC",3,"RE",0.191491906053313
"9","TC",3,"SRE",0.202634557991149
"10","TC",4,"RF",0.171439567297691
"11","TC",4,"RE",0.200014042907878
"12","TC",4,"SRE",0.188205452414729
"13","TC",5,"RF",0.193519340519975
"14","TC",5,"RE",0.160684452842639
"15","TC",5,"SRE",0.196997853095414
"16","TC",6,"RF",0.157364155737115
"17","TC",6,"RE",0.066743886218521
"18","TC",6,"SRE",0.16765041206554
"19","TC",7,"RF",0.150236569217281
"20","TC",7,"RE",0.19949310375611
"21","TC",7,"SRE",0.267496654916424
"22","TC",8,"RF",0.246863736909679
"23","TC",8,"RE",0.21790094705791
"24","TC",8,"SRE",0.200214656716086
"25","TC",9,"RF",0.233074489502445
"26","TC",9,"RE",0.169973064332242
"27","TC",9,"SRE",0.205038781714351
"28","TC",10,"RF",0.174578623025752
"29","TC",10,"RE",0.195351766004234
"30","TC",10,"SRE",0.204853121048158
