"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"RF",0.620591887417218
"2","TH02",1,"RE",0.5
"3","TH02",1,"SRE",0.625020695364238
"4","TH02",2,"RF",0.611406397310998
"5","TH02",2,"RE",0.587590692336071
"6","TH02",2,"SRE",0.592694057687841
"7","TH02",3,"RF",0.628010010822511
"8","TH02",3,"RE",0.618344155844156
"9","TH02",3,"SRE",0.593925865800866
"10","TH02",4,"RF",0.582905816093236
"11","TH02",4,"RE",0.598916801427536
"12","TH02",4,"SRE",0.577441030502426
"13","TH02",5,"RF",0.571796574160138
"14","TH02",5,"RE",0.583501527021644
"15","TH02",5,"SRE",0.567633780374452
"16","TH02",6,"RF",0.586768621755165
"17","TH02",6,"RE",0.599349253136258
"18","TH02",6,"SRE",0.601050877867487
"19","TH02",7,"RF",0.652761162887745
"20","TH02",7,"RE",0.635616914730839
"21","TH02",7,"SRE",0.624370566142718
"22","TH02",8,"RF",0.620120669785099
"23","TH02",8,"RE",0.607213070300319
"24","TH02",8,"SRE",0.605274218697037
"25","TH02",9,"RF",0.641446433645922
"26","TH02",9,"RE",0.615643648763853
"27","TH02",9,"SRE",0.630569764137539
"28","TH02",10,"RF",0.596513175405909
"29","TH02",10,"RE",0.596306893798243
"30","TH02",10,"SRE",0.60121107266436
