"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"RF",0.242470061347805
"2","TH02",1,"RE",0.247431485018168
"3","TH02",1,"SRE",0.25
"4","TH02",2,"RF",0.240995145639854
"5","TH02",2,"RE",0.241545781624046
"6","TH02",2,"SRE",0.232918824630751
"7","TH02",3,"RF",0.243637180178871
"8","TH02",3,"RE",0.244409465525053
"9","TH02",3,"SRE",0.243773400067172
"10","TH02",4,"RF",0.235888304447249
"11","TH02",4,"RE",0.240332800553483
"12","TH02",4,"SRE",0.239754980095058
"13","TH02",5,"RF",0.23877601636616
"14","TH02",5,"RE",0.242167589955662
"15","TH02",5,"SRE",0.24822583725087
"16","TH02",6,"RF",0.245054116616901
"17","TH02",6,"RE",0.245671599033538
"18","TH02",6,"SRE",0.248619089860422
"19","TH02",7,"RF",0.236160955476467
"20","TH02",7,"RE",0.240118531228196
"21","TH02",7,"SRE",0.24959380945762
"22","TH02",8,"RF",0.23580799133412
"23","TH02",8,"RE",0.238343044411411
"24","TH02",8,"SRE",0.25
"25","TH02",9,"RF",0.2381212446353
"26","TH02",9,"RE",0.243535116529535
"27","TH02",9,"SRE",0.241304026522006
"28","TH02",10,"RF",0.240465423931376
"29","TH02",10,"RE",0.244209500895787
"30","TH02",10,"SRE",0.25
