"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"RF",0
"2","TH02",1,"RE",0.13960113960114
"3","TH02",1,"SRE",0.236625514403292
"4","TH02",2,"RF",-0.0321991541714726
"5","TH02",2,"RE",0
"6","TH02",2,"SRE",0.5
"7","TH02",3,"RF",0.909090909090909
"8","TH02",3,"RE",0
"9","TH02",3,"SRE",-0.125
"10","TH02",4,"RF",-0.0204888569374551
"11","TH02",4,"RE",0.00913043478260844
"12","TH02",4,"SRE",0.0660493827160493
"13","TH02",5,"RF",-0.0607720728755256
"14","TH02",5,"RE",0.1208071278826
"15","TH02",5,"SRE",0.104297693920335
"16","TH02",6,"RF",0.039423076923077
"17","TH02",6,"RE",0.0740251156642433
"18","TH02",6,"SRE",-0.0440140845070423
"19","TH02",7,"RF",-0.0104166666666666
"20","TH02",7,"RE",0.324287652645862
"21","TH02",7,"SRE",0.536111111111111
"22","TH02",8,"RF",0.000291375291375351
"23","TH02",8,"RE",0.0869463869463869
"24","TH02",8,"SRE",0.114814814814815
"25","TH02",9,"RF",0.0757793764988011
"26","TH02",9,"RE",0.0888030888030888
"27","TH02",9,"SRE",0.0763888888888888
"28","TH02",10,"RF",0.0887268847795164
"29","TH02",10,"RE",0
"30","TH02",10,"SRE",0.160180485053582
