"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"RF",0.759834871296746
"2","GC",1,"RE",0.758640116561438
"3","GC",1,"SRE",0.740650801359883
"4","GC",2,"RF",0.735614773258532
"5","GC",2,"RE",0.743562412342216
"6","GC",2,"SRE",0.753501636278635
"7","GC",3,"RF",0.746642481540519
"8","GC",3,"RE",0.714560545264662
"9","GC",3,"SRE",0.743949137946829
"10","GC",4,"RF",0.743259132306343
"11","GC",4,"RE",0.731909763048287
"12","GC",4,"SRE",0.73999083281851
"13","GC",5,"RF",0.742816091954023
"14","GC",5,"RE",0.754943663036903
"15","GC",5,"SRE",0.754045674531155
"16","GC",6,"RF",0.737599815724816
"17","GC",6,"RE",0.757870085995086
"18","GC",6,"SRE",0.749760058353808
"19","GC",7,"RF",0.776428121803446
"20","GC",7,"RE",0.767123691871902
"21","GC",7,"SRE",0.760504366984027
"22","GC",8,"RF",0.752285513361463
"23","GC",8,"RE",0.745234658375898
"24","GC",8,"SRE",0.75061995706566
"25","GC",9,"RF",0.723583983474428
"26","GC",9,"RE",0.719895239676128
"27","GC",9,"SRE",0.700741437503458
"28","GC",10,"RF",0.726209526067287
"29","GC",10,"RE",0.755753768347854
"30","GC",10,"SRE",0.743851123096071
