"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"RF",0.205526601724643
"2","GC",1,"RE",0.207034494212639
"3","GC",1,"SRE",0.20591167303868
"4","GC",2,"RF",0.196925707685144
"5","GC",2,"RE",0.203144878741426
"6","GC",2,"SRE",0.202591091056539
"7","GC",3,"RF",0.204278178853825
"8","GC",3,"RE",0.204588133594004
"9","GC",3,"SRE",0.205661691559222
"10","GC",4,"RF",0.218424464319546
"11","GC",4,"RE",0.208019880328284
"12","GC",4,"SRE",0.215048316140788
"13","GC",5,"RF",0.210618835523339
"14","GC",5,"RE",0.209332681972117
"15","GC",5,"SRE",0.203632150194669
"16","GC",6,"RF",0.208186237219424
"17","GC",6,"RE",0.204903996492543
"18","GC",6,"SRE",0.209980527272493
"19","GC",7,"RF",0.20079600842248
"20","GC",7,"RE",0.208273122653087
"21","GC",7,"SRE",0.204724861971169
"22","GC",8,"RF",0.202407071749698
"23","GC",8,"RE",0.209292579295547
"24","GC",8,"SRE",0.208688551413401
"25","GC",9,"RF",0.210976012793641
"26","GC",9,"RE",0.217136647573992
"27","GC",9,"SRE",0.212326527654172
"28","GC",10,"RF",0.207363204596189
"29","GC",10,"RE",0.211571353184982
"30","GC",10,"SRE",0.217183600798343
