"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"RF",0.218344965104686
"2","GC",1,"RE",0.358181818181818
"3","GC",1,"SRE",0.283044058744993
"4","GC",2,"RF",0.371134020618557
"5","GC",2,"RE",0.458689927583937
"6","GC",2,"SRE",0.294828482328482
"7","GC",3,"RF",0.161583734617442
"8","GC",3,"RE",0.330432172869148
"9","GC",3,"SRE",0.408185840707965
"10","GC",4,"RF",0.365765765765766
"11","GC",4,"RE",0.425581395348837
"12","GC",4,"SRE",0.337870685464268
"13","GC",5,"RF",0.146646456991285
"14","GC",5,"RE",0.288275862068966
"15","GC",5,"SRE",0.284912280701754
"16","GC",6,"RF",0.295753286147624
"17","GC",6,"RE",0.405331510594668
"18","GC",6,"SRE",0.369979716024341
"19","GC",7,"RF",0.341064525721082
"20","GC",7,"RE",0.4
"21","GC",7,"SRE",0.410518053375196
"22","GC",8,"RF",0.414050235478807
"23","GC",8,"RE",0.35162979226482
"24","GC",8,"SRE",0.276771336553945
"25","GC",9,"RF",0.151089877575396
"26","GC",9,"RE",0.19952114924182
"27","GC",9,"SRE",0.144047035766781
"28","GC",10,"RF",0.340996168582375
"29","GC",10,"RE",0.4
"30","GC",10,"SRE",0.273045822102426
